T, time, time_on_pso, time_on_solver, status
2.966,0.105,0.069,0.036,0
5.091,0.680,0.068,0.612,-5
2.672,0.099,0.069,0.030,0
2.177,0.101,0.068,0.033,0
2.757,0.280,0.068,0.212,-5
2.590,0.179,0.069,0.110,-5
2.167,0.098,0.069,0.029,0
2.482,0.104,0.068,0.036,0
2.644,0.109,0.069,0.040,0
2.860,0.131,0.069,0.062,-5
2.330,0.095,0.069,0.026,0
2.906,0.133,0.069,0.064,-5
5.925,0.521,0.069,0.452,-5
2.934,0.708,0.069,0.639,-5
2.928,0.106,0.069,0.037,0
2.732,0.100,0.069,0.031,0
2.296,0.115,0.069,0.046,0
2.554,0.108,0.071,0.037,0
2.162,0.103,0.071,0.032,0
2.825,0.105,0.071,0.034,0
2.797,0.149,0.071,0.078,-5
2.502,0.098,0.071,0.027,0
2.512,0.201,0.071,0.130,-5
2.838,0.097,0.070,0.027,0
2.663,0.111,0.070,0.041,0
1.546,0.107,0.070,0.037,0
1.996,0.100,0.070,0.030,0
2.265,0.110,0.071,0.039,0
2.565,0.107,0.070,0.037,0
2.187,0.104,0.071,0.033,0
2.315,0.574,0.072,0.502,-5
2.954,0.281,0.071,0.210,-5
2.514,0.114,0.071,0.043,0
2.516,0.106,0.079,0.027,0
2.699,0.367,0.074,0.293,-5
2.812,0.107,0.071,0.036,0
2.077,0.345,0.069,0.276,0
2.544,0.114,0.071,0.043,0
2.356,0.109,0.071,0.038,0
2.695,0.151,0.072,0.079,-5
2.056,0.101,0.071,0.030,0
4.866,0.118,0.071,0.047,-5
1.298,0.110,0.071,0.039,0
2.766,0.138,0.071,0.067,-5
1.939,0.108,0.071,0.037,0
2.292,0.104,0.071,0.033,0
2.437,0.112,0.071,0.041,0
2.775,0.116,0.071,0.045,0
2.488,0.101,0.071,0.030,0
2.601,0.135,0.070,0.065,-5
2.986,0.260,0.071,0.189,0
2.748,0.103,0.071,0.032,0
2.635,0.198,0.071,0.127,0
2.753,0.138,0.071,0.067,-5
2.419,0.103,0.071,0.032,0
2.427,0.099,0.071,0.028,0
2.334,0.110,0.071,0.039,0
2.213,0.102,0.071,0.031,0
1.969,0.203,0.071,0.132,0
2.652,0.105,0.073,0.032,0
2.388,0.103,0.071,0.032,0
2.531,0.117,0.071,0.046,0
1.987,0.115,0.071,0.044,0
5.363,0.866,0.071,0.795,-5
2.546,0.103,0.071,0.032,0
2.696,0.108,0.071,0.037,0
2.953,0.118,0.072,0.046,0
2.290,0.104,0.071,0.033,0
2.236,0.109,0.071,0.038,0
2.756,0.105,0.071,0.034,0
2.320,0.106,0.071,0.035,0
2.811,0.107,0.071,0.036,0
2.618,0.104,0.071,0.033,0
2.689,0.294,0.070,0.224,-5
2.476,0.110,0.073,0.037,0
2.792,0.105,0.071,0.034,0
2.630,0.100,0.070,0.030,0
2.291,0.104,0.070,0.034,0
2.532,0.105,0.070,0.035,0
2.737,0.104,0.070,0.034,0
1.968,0.121,0.070,0.051,0
2.679,0.096,0.071,0.025,0
2.775,0.136,0.070,0.066,-5
3.136,0.254,0.070,0.184,0
