T, time, status
1.590,1.166,1
2.094,1.352,0
2.758,8.920,-2
3.026,1.986,1
2.430,1.913,0
2.350,6.837,-2
2.496,2.351,-2
2.000,1.340,0
1.870,3.220,1
1.748,1.445,1
2.760,2.131,1
2.479,1.038,0
2.807,15.767,-2
2.223,0.750,0
2.178,1.683,1
2.724,4.915,-2
2.352,1.678,1
2.710,0.951,0
2.520,1.177,1
2.903,9.171,-2
2.325,0.962,1
2.933,19.887,-3
2.942,8.418,-2
2.670,8.357,-2
2.070,4.193,-2
2.177,7.058,-4
2.561,1.315,1
2.389,1.004,1
2.830,2.180,1
2.611,5.223,-4
2.369,2.814,1
2.574,4.245,-2
2.964,1.534,1
2.700,1.266,1
2.059,0.957,1
2.810,1.316,1
2.712,1.409,1
2.058,1.304,0
2.554,0.917,0
2.806,21.695,-3
2.842,1.776,1
2.791,1.566,1
2.860,17.247,-2
2.233,5.832,-2
2.581,1.302,1
2.439,1.021,0
2.547,1.645,0
2.161,3.598,-2
2.886,1.085,0
2.846,1.474,1
2.566,1.201,1
2.862,1.477,1
2.341,3.119,1
1.972,1.424,1
2.781,7.601,-2
2.199,1.168,0
2.199,0.876,1
2.507,2.470,0
2.156,1.519,1
1.551,2.722,1
2.272,1.800,0
2.308,1.015,1
2.890,2.044,1
2.904,1.476,1
2.887,10.183,-2
2.950,1.380,1
2.933,23.694,-3
2.981,7.434,-4
2.433,2.237,1
2.403,2.845,1
2.572,1.248,0
2.911,5.879,1
2.708,1.805,0
2.216,1.477,0
2.569,9.528,-2
2.758,7.249,-4
2.735,1.487,1
2.943,24.102,-3
2.111,1.359,1
2.671,1.587,1
2.668,1.301,1
2.823,1.512,1
2.030,2.931,1
2.703,1.295,1
2.787,1.523,1
2.257,1.924,1
2.833,8.927,-2
1.731,2.102,0
2.966,24.155,-3
2.338,4.587,-4
2.413,1.763,1
2.262,1.346,1
2.945,1.348,0
2.242,0.974,0
2.669,4.434,-2
2.321,19.033,-3
2.245,1.210,0
2.752,8.029,-2
2.883,17.695,-2
2.479,1.235,0
2.530,1.938,1
2.489,9.456,-2
2.264,1.484,1
2.723,1.627,1
1.841,2.012,1
2.114,2.403,0
2.691,1.080,0
2.539,1.068,0
