T, time, time_on_pso, time_on_solver, status
2.619,0.097,0.071,0.026,0
2.196,0.104,0.068,0.036,0
2.348,0.102,0.068,0.034,0
2.293,0.097,0.069,0.028,0
2.116,0.110,0.067,0.043,0
2.917,0.250,0.068,0.182,-5
2.544,0.105,0.068,0.037,0
2.972,0.131,0.067,0.064,-5
2.621,0.101,0.066,0.035,0
2.280,0.101,0.067,0.034,0
2.029,0.102,0.072,0.030,0
2.664,0.106,0.067,0.039,0
2.797,0.115,0.068,0.047,-5
2.572,0.105,0.067,0.038,0
2.640,0.091,0.067,0.024,0
2.247,0.094,0.067,0.027,0
2.455,0.093,0.066,0.027,0
2.516,0.096,0.066,0.030,0
2.282,0.204,0.067,0.137,-5
1.807,0.110,0.071,0.039,0
5.022,0.812,0.085,0.727,-5
2.371,0.097,0.067,0.030,0
2.430,0.098,0.069,0.029,0
2.681,0.097,0.067,0.030,0
1.803,0.109,0.070,0.039,0
2.625,0.101,0.068,0.033,0
2.456,0.099,0.068,0.031,0
2.927,0.103,0.068,0.035,0
2.290,0.105,0.068,0.037,0
2.266,0.100,0.069,0.031,0
1.689,0.361,0.068,0.293,-5
2.705,0.106,0.069,0.037,0
2.612,0.097,0.068,0.029,0
2.222,0.093,0.070,0.023,0
2.877,0.111,0.068,0.043,0
2.752,0.110,0.071,0.039,0
2.413,0.187,0.070,0.117,-5
2.560,0.154,0.071,0.083,-5
1.934,0.111,0.068,0.043,0
2.725,0.138,0.074,0.064,0
2.046,0.127,0.073,0.054,0
2.547,0.110,0.073,0.037,0
2.567,0.327,0.069,0.258,-5
2.679,0.094,0.070,0.024,0
3.033,0.598,0.068,0.530,-5
1.894,0.116,0.070,0.046,0
1.539,0.254,0.076,0.178,-5
2.465,0.124,0.073,0.051,0
1.213,0.125,0.079,0.046,0
1.490,0.111,0.073,0.038,0
2.606,0.101,0.070,0.031,0
2.666,0.116,0.069,0.047,0
2.903,0.190,0.073,0.117,-5
2.713,0.106,0.069,0.037,0
2.082,0.113,0.068,0.045,0
2.183,0.097,0.068,0.029,0
2.339,0.094,0.068,0.026,0
2.990,0.113,0.068,0.045,0
2.657,0.098,0.069,0.029,0
2.603,0.106,0.068,0.038,0
2.551,0.095,0.067,0.028,0
2.598,0.103,0.068,0.035,0
2.670,0.096,0.068,0.028,0
2.875,0.116,0.068,0.048,0
2.624,0.152,0.070,0.082,-5
2.481,0.105,0.073,0.032,0
2.190,0.104,0.071,0.033,0
2.437,0.101,0.068,0.033,0
2.524,0.133,0.068,0.065,-5
6.060,0.486,0.068,0.418,-5
2.733,0.095,0.071,0.024,0
2.240,0.104,0.070,0.034,0
2.288,0.090,0.068,0.022,0
2.170,0.101,0.068,0.033,0
2.815,0.111,0.068,0.043,0
2.001,0.103,0.068,0.035,0
2.350,0.145,0.070,0.075,-5
5.059,0.913,0.072,0.841,-5
2.655,0.097,0.068,0.029,0
2.375,0.097,0.068,0.029,0
2.841,0.509,0.068,0.441,-5
1.917,0.100,0.068,0.032,0
2.072,0.100,0.069,0.031,0
2.462,0.102,0.068,0.034,0
2.765,0.115,0.068,0.047,0
2.755,0.089,0.068,0.021,0
2.628,0.128,0.068,0.060,0
2.604,0.121,0.068,0.053,-5
2.530,0.162,0.068,0.094,-5
2.623,0.097,0.068,0.029,0
2.333,0.101,0.068,0.033,0
3.023,0.163,0.068,0.095,0
2.000,0.100,0.068,0.032,0
2.578,0.096,0.068,0.028,0
2.030,0.098,0.068,0.030,0
2.580,0.089,0.068,0.021,0
1.887,0.098,0.068,0.030,0
3.023,0.104,0.068,0.036,0
3.005,0.161,0.068,0.093,0
2.658,0.101,0.068,0.033,0
2.735,0.107,0.069,0.038,0
1.900,0.103,0.068,0.035,0
2.141,0.096,0.068,0.028,0
2.797,0.105,0.068,0.037,0
2.555,0.092,0.068,0.024,0
2.416,0.098,0.067,0.031,0
2.413,0.200,0.068,0.132,0
2.723,0.140,0.068,0.072,-5
2.773,0.116,0.068,0.048,0
2.773,0.115,0.071,0.044,0
2.847,0.122,0.071,0.051,0
2.422,0.121,0.067,0.054,0
2.453,0.104,0.071,0.033,0
2.527,0.098,0.069,0.029,0
2.426,0.095,0.068,0.027,0
2.855,0.271,0.068,0.203,-5
2.831,0.130,0.069,0.061,-5
2.251,0.100,0.069,0.031,0
2.873,0.100,0.069,0.031,0
2.540,0.098,0.069,0.029,0
1.835,0.100,0.068,0.032,0
2.556,0.099,0.069,0.030,0
2.709,0.107,0.068,0.039,0
2.955,0.129,0.070,0.059,-5
2.132,0.202,0.068,0.134,0
2.247,0.104,0.069,0.035,0
2.651,0.100,0.068,0.032,0
2.313,0.106,0.068,0.038,0
2.243,0.258,0.068,0.190,0
2.581,0.103,0.069,0.034,0
2.154,0.259,0.070,0.189,-5
2.902,0.148,0.069,0.079,-5
2.404,0.105,0.071,0.034,0
2.263,0.098,0.068,0.030,0
2.385,0.101,0.069,0.032,0
2.716,0.145,0.068,0.077,-5
2.709,0.094,0.068,0.026,0
2.508,0.098,0.068,0.030,0
2.493,0.105,0.067,0.038,0
2.563,0.100,0.065,0.035,0
2.226,0.106,0.066,0.040,0
1.993,0.108,0.068,0.040,0
2.362,0.109,0.066,0.043,0
2.780,0.111,0.071,0.040,0
1.468,0.109,0.067,0.042,0
1.471,0.102,0.067,0.035,0
2.215,0.095,0.067,0.028,0
2.302,0.101,0.067,0.034,0
2.655,0.100,0.067,0.033,0
2.749,0.104,0.067,0.037,0
2.196,0.094,0.067,0.027,0
1.823,0.097,0.067,0.030,0
2.036,0.093,0.067,0.026,0
2.440,0.146,0.067,0.079,-5
2.863,0.109,0.067,0.042,0
2.818,0.141,0.068,0.073,-5
2.710,0.097,0.067,0.030,0
2.524,0.098,0.070,0.028,0
2.820,0.113,0.068,0.045,0
2.382,0.099,0.068,0.031,0
2.456,0.103,0.066,0.037,0
1.274,0.108,0.068,0.040,0
2.749,0.245,0.067,0.178,0
2.698,0.105,0.067,0.038,0
2.563,0.091,0.068,0.023,0
2.766,0.103,0.067,0.036,0
2.787,0.143,0.068,0.075,-5
2.188,0.099,0.068,0.031,0
2.681,0.090,0.067,0.023,0
2.552,0.101,0.071,0.030,0
1.414,0.106,0.069,0.037,0
1.855,0.095,0.067,0.028,0
2.592,0.151,0.067,0.084,-5
2.792,0.102,0.068,0.034,0
2.360,0.089,0.067,0.022,0
2.478,0.100,0.067,0.033,0
2.431,0.113,0.067,0.046,0
2.710,0.163,0.070,0.093,-5
2.439,0.105,0.075,0.030,0
2.830,0.114,0.071,0.043,0
2.428,0.220,0.070,0.150,0
2.455,0.110,0.070,0.040,0
1.515,0.200,0.070,0.130,0
2.311,0.177,0.078,0.099,0
2.406,0.166,0.074,0.092,0
2.339,0.308,0.071,0.237,-5
2.268,0.097,0.070,0.027,0
2.087,0.096,0.067,0.029,0
2.930,0.110,0.070,0.040,0
2.300,0.099,0.071,0.028,0
2.054,0.108,0.072,0.036,0
2.840,0.112,0.069,0.043,0
1.311,0.105,0.071,0.034,0
1.745,0.117,0.073,0.044,0
2.845,0.107,0.070,0.037,0
2.351,0.113,0.073,0.040,0
2.961,0.722,0.075,0.647,-5
