avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.302,0.154,0.148,47,313
0.233,0.154,0.078,2,583
0.157,0.083,0.074,19,1000
0.191,0.118,0.073,14,1000
0.138,0.064,0.073,13,1000
0.175,0.100,0.075,5,1000
0.183,0.064,0.119,32,1000
0.192,0.118,0.074,22,1000
0.279,0.135,0.143,34,452
0.160,0.067,0.093,10,1000
0.467,0.157,0.310,66,139
0.176,0.067,0.109,48,1000
0.256,0.104,0.152,75,632
0.202,0.105,0.096,10,985
0.172,0.086,0.086,5,1000
0.253,0.160,0.093,3,431
0.435,0.106,0.329,101,255
0.196,0.065,0.131,92,1000
0.173,0.083,0.090,38,1000
0.285,0.156,0.130,24,343
0.287,0.157,0.131,26,334
0.239,0.157,0.082,1,522
0.285,0.069,0.216,101,475
0.207,0.122,0.085,2,921
0.278,0.144,0.134,20,419
0.212,0.124,0.088,36,868
0.388,0.124,0.265,66,291
0.144,0.067,0.076,40,1000
0.171,0.064,0.107,49,1000
0.226,0.118,0.107,11,762
0.246,0.083,0.163,101,469
0.410,0.136,0.274,101,234
0.227,0.137,0.091,13,698
0.279,0.155,0.124,10,363
0.173,0.101,0.072,27,1000
0.179,0.064,0.115,61,1000
0.291,0.101,0.190,101,362
0.281,0.136,0.145,54,441
0.179,0.101,0.078,3,1000
0.203,0.101,0.102,48,974
0.191,0.118,0.073,13,1000
0.198,0.119,0.078,10,1000
0.230,0.136,0.094,35,678
0.152,0.083,0.069,12,1000
0.215,0.101,0.114,61,873
0.154,0.082,0.072,16,1000
0.317,0.153,0.164,27,286
0.187,0.082,0.105,41,1000
0.222,0.118,0.104,34,785
0.176,0.101,0.076,13,1000
