avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.508,0.089,0.419,101,114
0.122,0.039,0.083,99,1000
0.504,0.088,0.415,101,125
0.210,0.092,0.117,101,587
0.518,0.057,0.461,101,103
0.345,0.059,0.285,101,164
0.111,0.043,0.068,84,1000
0.422,0.083,0.339,101,148
0.440,0.074,0.366,101,161
0.159,0.080,0.079,74,1000
0.576,0.054,0.522,101,101
0.131,0.053,0.079,75,1000
0.485,0.052,0.433,101,101
0.221,0.093,0.129,101,542
0.176,0.068,0.108,84,1000
0.163,0.051,0.112,101,565
0.141,0.069,0.072,78,1000
0.160,0.082,0.078,81,1000
0.233,0.040,0.193,101,328
0.475,0.038,0.437,101,101
0.147,0.060,0.087,98,1000
0.580,0.082,0.498,101,101
0.529,0.039,0.491,101,104
0.255,0.054,0.201,101,272
0.141,0.060,0.081,76,1000
0.258,0.081,0.177,101,399
0.271,0.054,0.216,101,260
0.326,0.080,0.246,101,214
0.233,0.081,0.152,76,785
0.486,0.070,0.417,101,131
0.167,0.074,0.093,91,1000
0.160,0.088,0.073,81,1000
0.429,0.089,0.340,101,133
0.516,0.064,0.452,101,101
0.154,0.083,0.071,80,1000
0.454,0.065,0.390,101,109
0.146,0.077,0.069,80,1000
0.137,0.066,0.070,75,1000
0.463,0.061,0.402,101,101
0.318,0.084,0.234,101,196
0.226,0.083,0.144,101,368
0.460,0.055,0.404,101,106
0.119,0.044,0.074,101,995
0.164,0.078,0.086,92,1000
0.145,0.076,0.070,67,1000
0.181,0.077,0.104,101,694
0.477,0.057,0.421,101,101
0.110,0.043,0.067,77,1000
0.110,0.042,0.067,83,1000
0.170,0.037,0.132,101,514
