avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.189,0.094,0.096,34,1000
0.171,0.092,0.079,23,1000
0.265,0.101,0.164,101,570
0.191,0.109,0.082,13,1000
0.183,0.093,0.089,38,1000
0.182,0.099,0.083,12,1000
0.209,0.104,0.105,16,913
0.197,0.096,0.100,24,1000
0.202,0.112,0.090,9,977
0.202,0.111,0.092,34,976
0.187,0.095,0.092,41,1000
0.213,0.101,0.112,98,884
0.226,0.117,0.109,31,763
0.189,0.094,0.095,3,1000
0.173,0.095,0.078,28,1000
0.211,0.102,0.109,50,901
0.251,0.107,0.144,101,483
0.213,0.104,0.108,79,883
0.153,0.088,0.064,12,1000
0.210,0.103,0.107,101,692
0.159,0.088,0.071,28,1000
0.181,0.095,0.086,42,1000
0.194,0.095,0.098,76,1000
0.191,0.105,0.086,65,1000
0.184,0.088,0.096,94,1000
0.189,0.094,0.095,68,1000
0.222,0.102,0.120,74,821
0.224,0.108,0.116,101,766
0.218,0.100,0.118,101,763
0.226,0.100,0.126,81,793
0.179,0.093,0.086,28,1000
0.160,0.095,0.065,12,1000
0.165,0.088,0.077,51,1000
0.158,0.086,0.072,33,1000
0.169,0.102,0.066,2,1000
0.155,0.087,0.068,4,1000
0.157,0.086,0.071,6,1000
0.244,0.085,0.159,101,484
0.177,0.106,0.072,37,1000
0.157,0.087,0.070,65,1000
0.164,0.097,0.068,21,1000
0.204,0.104,0.100,93,956
0.232,0.101,0.130,101,656
0.187,0.102,0.084,49,1000
0.153,0.086,0.067,5,1000
0.180,0.103,0.077,32,1000
0.164,0.096,0.069,13,1000
0.171,0.103,0.067,22,1000
0.163,0.087,0.076,76,1000
0.180,0.102,0.078,48,1000
