avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.332,0.135,0.197,91,333
0.206,0.136,0.070,33,914
0.233,0.119,0.114,12,710
0.224,0.154,0.070,12,656
0.221,0.082,0.139,101,772
0.236,0.154,0.082,8,563
0.169,0.100,0.069,37,1000
0.170,0.063,0.106,35,1000
0.235,0.152,0.083,0,577
0.230,0.081,0.148,101,736
0.193,0.117,0.075,3,1000
0.241,0.118,0.123,16,669
0.243,0.082,0.161,101,710
0.212,0.063,0.149,101,544
0.211,0.099,0.113,77,899
0.218,0.119,0.100,53,816
0.206,0.117,0.089,34,935
0.227,0.153,0.074,4,632
0.206,0.154,0.052,0,891
0.138,0.081,0.057,0,1000
0.226,0.151,0.075,0,658
0.136,0.081,0.055,0,1000
0.142,0.079,0.063,1,1000
0.170,0.103,0.066,2,1000
0.160,0.105,0.056,0,1000
0.257,0.205,0.052,0,1
0.149,0.105,0.043,0,1000
0.126,0.082,0.044,1,1000
0.159,0.105,0.054,1,1000
0.163,0.106,0.058,2,1000
0.199,0.128,0.071,1,1000
0.136,0.080,0.055,1,1000
0.194,0.128,0.066,7,1000
0.210,0.153,0.056,0,827
0.282,0.222,0.060,0,1
0.149,0.080,0.069,2,1000
0.266,0.214,0.052,0,1
0.183,0.129,0.055,1,1000
0.142,0.081,0.061,1,1000
0.180,0.129,0.050,0,1000
0.166,0.106,0.061,2,1000
0.176,0.130,0.046,0,1000
0.201,0.129,0.072,1,989
0.186,0.130,0.056,0,1000
0.180,0.131,0.049,1,1000
0.263,0.176,0.087,0,280
0.273,0.218,0.055,0,1
0.208,0.155,0.052,1,856
0.279,0.224,0.055,0,1
0.259,0.204,0.055,0,1
