avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.182,0.082,0.100,101,576
0.499,0.062,0.437,101,101
0.385,0.079,0.306,101,112
0.125,0.054,0.071,78,1000
0.493,0.089,0.404,101,102
0.162,0.092,0.070,89,1000
0.129,0.061,0.068,72,1000
0.174,0.048,0.127,101,408
0.487,0.048,0.439,101,101
0.151,0.071,0.080,101,881
0.170,0.085,0.085,101,841
0.484,0.061,0.423,101,103
0.147,0.079,0.068,79,1000
0.162,0.091,0.071,73,1000
0.448,0.088,0.360,101,106
0.358,0.065,0.293,101,140
0.296,0.089,0.207,101,234
0.419,0.070,0.350,101,123
0.147,0.057,0.090,101,782
0.566,0.112,0.454,101,103
0.140,0.072,0.068,79,1000
0.481,0.049,0.432,101,101
0.144,0.077,0.068,87,1000
0.377,0.100,0.277,101,154
0.144,0.078,0.067,77,1000
0.161,0.095,0.067,80,1000
0.124,0.055,0.069,84,1000
0.155,0.085,0.070,70,1000
0.183,0.064,0.119,101,540
0.143,0.073,0.070,4,1000
0.139,0.054,0.085,101,801
0.209,0.089,0.120,101,459
0.224,0.063,0.160,101,282
0.159,0.092,0.067,73,1000
0.241,0.079,0.161,101,549
0.501,0.079,0.422,101,101
0.139,0.068,0.071,84,1000
0.516,0.081,0.434,101,101
0.384,0.064,0.320,101,117
0.140,0.076,0.064,79,1000
0.151,0.085,0.066,77,1000
0.182,0.097,0.084,101,963
0.155,0.078,0.077,98,1000
0.515,0.056,0.459,101,102
0.173,0.091,0.082,101,968
0.538,0.075,0.463,101,102
0.145,0.056,0.089,101,771
0.284,0.072,0.212,101,241
0.157,0.064,0.093,101,782
0.493,0.047,0.446,101,101
