avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.129,0.055,0.073,84,1000
0.115,0.030,0.085,92,1000
0.291,0.036,0.255,101,171
0.118,0.046,0.072,84,1000
0.095,0.016,0.079,86,1000
0.121,0.017,0.104,101,727
0.444,0.027,0.417,101,102
0.137,0.068,0.069,83,1000
0.231,0.049,0.182,101,382
0.125,0.050,0.076,78,1000
0.114,0.040,0.074,72,1000
0.144,0.070,0.074,77,1000
0.139,0.023,0.116,101,518
0.114,0.042,0.072,79,1000
0.549,0.081,0.468,101,101
0.094,0.017,0.076,75,1000
0.120,0.035,0.085,101,776
0.196,0.057,0.139,101,424
0.189,0.062,0.127,101,458
0.157,0.050,0.107,101,624
0.127,0.055,0.072,80,1000
0.115,0.045,0.071,78,1000
0.175,0.051,0.124,101,457
0.480,0.032,0.448,101,101
0.447,0.079,0.368,101,114
0.260,0.017,0.243,101,221
0.508,0.036,0.472,101,102
0.508,0.069,0.439,101,102
0.140,0.070,0.069,78,1000
0.114,0.042,0.072,68,1000
0.212,0.056,0.156,101,356
0.336,0.039,0.297,101,143
0.276,0.017,0.259,101,172
0.120,0.045,0.075,87,1000
0.092,0.021,0.071,75,1000
0.224,0.068,0.157,101,387
0.136,0.044,0.092,101,824
0.486,0.042,0.444,101,101
0.130,0.059,0.071,84,1000
0.107,0.039,0.068,69,1000
0.359,0.078,0.281,101,156
0.092,0.023,0.070,79,1000
0.242,0.088,0.155,101,366
0.530,0.078,0.452,101,101
0.212,0.076,0.136,101,388
0.158,0.086,0.072,71,1000
0.113,0.041,0.072,81,1000
0.512,0.071,0.440,101,101
0.105,0.037,0.068,80,1000
0.474,0.079,0.394,101,102
