avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.156,0.065,0.091,12,1000
0.296,0.065,0.231,101,342
0.163,0.084,0.079,23,1000
0.154,0.066,0.088,5,1000
0.252,0.157,0.095,5,452
0.182,0.067,0.115,39,1000
0.269,0.067,0.202,101,477
0.146,0.066,0.079,12,1000
0.250,0.084,0.166,91,699
0.267,0.135,0.132,25,491
0.223,0.153,0.070,28,668
0.295,0.119,0.177,76,461
0.306,0.119,0.187,101,423
0.198,0.118,0.080,19,1000
0.284,0.136,0.148,37,432
0.408,0.065,0.343,101,135
0.222,0.153,0.069,28,678
0.179,0.082,0.097,10,1000
0.482,0.136,0.346,101,143
0.157,0.082,0.074,21,1000
0.136,0.064,0.072,10,1000
0.172,0.100,0.072,10,1000
0.267,0.135,0.131,21,492
0.130,0.064,0.066,32,1000
0.230,0.101,0.129,28,767
0.198,0.087,0.111,2,1000
0.221,0.070,0.151,98,861
0.191,0.106,0.085,21,1000
0.297,0.123,0.174,71,441
0.224,0.104,0.119,43,802
0.261,0.158,0.103,14,411
0.297,0.143,0.154,29,369
0.283,0.160,0.123,15,324
0.259,0.163,0.096,0,389
0.525,0.258,0.267,0,1
0.172,0.086,0.086,16,1000
0.274,0.087,0.187,101,589
0.216,0.124,0.092,10,827
0.288,0.161,0.126,9,306
0.386,0.141,0.245,57,243
0.182,0.089,0.093,34,1000
0.288,0.087,0.201,101,432
0.253,0.141,0.112,37,535
0.320,0.122,0.198,80,393
0.206,0.087,0.119,20,950
0.219,0.137,0.082,4,771
0.224,0.140,0.084,13,715
0.275,0.142,0.133,25,439
0.290,0.086,0.204,101,462
0.195,0.105,0.090,8,1000
