avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.178,0.086,0.092,80,1000
0.177,0.103,0.074,51,1000
0.189,0.103,0.086,71,1000
0.202,0.077,0.125,101,694
0.199,0.103,0.096,101,963
0.158,0.085,0.073,46,1000
0.156,0.085,0.071,17,1000
0.169,0.102,0.068,11,1000
0.189,0.104,0.085,98,1000
0.225,0.100,0.125,101,731
0.166,0.101,0.065,11,1000
0.161,0.099,0.061,0,1000
0.170,0.077,0.093,75,1000
0.137,0.077,0.060,5,1000
0.157,0.077,0.080,63,1000
0.148,0.077,0.071,24,1000
0.164,0.085,0.079,57,1000
0.201,0.085,0.115,101,848
0.221,0.102,0.119,101,671
0.185,0.077,0.108,101,972
0.163,0.093,0.070,4,1000
0.153,0.077,0.076,32,1000
0.155,0.077,0.078,44,1000
0.219,0.100,0.120,101,430
0.183,0.076,0.107,101,913
0.170,0.092,0.079,34,1000
0.163,0.077,0.086,101,920
0.149,0.084,0.065,3,1000
0.151,0.085,0.066,20,1000
0.165,0.100,0.066,14,1000
0.173,0.092,0.081,55,1000
0.159,0.092,0.066,10,1000
0.197,0.103,0.094,101,949
0.179,0.100,0.079,46,1000
0.177,0.095,0.082,58,1000
0.179,0.076,0.103,101,968
0.176,0.103,0.073,41,1000
0.173,0.094,0.078,61,1000
0.149,0.077,0.072,35,1000
0.182,0.099,0.083,39,1000
0.175,0.102,0.073,17,1000
0.162,0.092,0.070,11,1000
0.179,0.103,0.076,42,1000
0.153,0.077,0.075,22,1000
0.157,0.084,0.073,8,1000
0.180,0.086,0.093,85,1000
0.161,0.086,0.075,46,1000
0.152,0.084,0.068,41,1000
0.160,0.092,0.068,18,1000
0.177,0.096,0.081,64,1000
