avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.237,0.116,0.121,40,698
0.187,0.076,0.111,85,1000
0.208,0.100,0.108,81,925
0.214,0.090,0.123,79,888
0.171,0.074,0.097,32,1000
0.202,0.091,0.112,36,980
0.184,0.107,0.076,15,1000
0.193,0.111,0.082,31,1000
0.151,0.073,0.078,41,1000
0.188,0.106,0.082,22,1000
0.208,0.104,0.104,44,925
0.195,0.110,0.086,2,1000
0.165,0.100,0.065,18,1000
0.176,0.090,0.086,5,1000
0.216,0.110,0.106,50,847
0.194,0.096,0.098,67,1000
0.196,0.095,0.101,90,1000
0.189,0.097,0.092,76,1000
0.202,0.097,0.105,96,984
0.158,0.087,0.071,0,1000
0.175,0.085,0.091,11,1000
0.199,0.102,0.097,50,1000
0.161,0.088,0.073,41,1000
0.197,0.105,0.092,59,1000
0.224,0.106,0.117,79,797
0.186,0.081,0.105,101,894
0.219,0.103,0.116,101,763
0.190,0.108,0.082,28,1000
0.174,0.101,0.072,4,1000
0.154,0.085,0.069,6,1000
0.169,0.103,0.065,14,1000
0.148,0.069,0.080,74,1000
0.149,0.077,0.072,66,1000
0.167,0.098,0.069,29,1000
0.162,0.086,0.076,24,1000
0.176,0.094,0.082,63,1000
0.140,0.077,0.063,6,1000
0.165,0.086,0.079,91,1000
0.167,0.083,0.084,27,1000
0.196,0.109,0.086,74,1000
0.190,0.108,0.082,52,1000
0.172,0.091,0.081,60,1000
0.166,0.096,0.069,19,1000
0.175,0.076,0.099,101,736
0.272,0.103,0.169,101,372
0.184,0.104,0.079,36,1000
0.165,0.085,0.080,61,1000
0.151,0.077,0.074,44,1000
0.157,0.086,0.071,26,1000
0.178,0.092,0.085,91,1000
