avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.178,0.096,0.082,44,1000
0.179,0.101,0.078,26,1000
0.193,0.096,0.097,100,1000
0.148,0.079,0.069,21,1000
0.168,0.085,0.083,85,1000
0.165,0.087,0.079,59,1000
0.177,0.103,0.075,15,1000
0.148,0.077,0.071,7,1000
0.188,0.100,0.088,40,1000
0.150,0.085,0.065,0,1000
0.151,0.078,0.074,40,1000
0.164,0.085,0.079,77,1000
0.190,0.085,0.105,101,923
0.166,0.093,0.074,26,1000
0.147,0.077,0.070,17,1000
0.157,0.078,0.079,43,1000
0.162,0.085,0.078,41,1000
0.147,0.078,0.069,16,1000
0.189,0.095,0.095,78,1000
0.175,0.095,0.080,67,1000
0.150,0.095,0.055,13,1000
0.170,0.101,0.069,0,1000
0.147,0.077,0.070,10,1000
0.165,0.078,0.087,79,1000
0.196,0.095,0.102,80,1000
0.164,0.101,0.063,3,1000
0.187,0.094,0.093,101,902
0.181,0.087,0.094,61,1000
0.205,0.105,0.101,55,950
0.196,0.110,0.086,13,1000
0.179,0.100,0.078,74,1000
0.192,0.091,0.101,62,1000
0.179,0.093,0.086,14,1000
0.187,0.108,0.079,6,1000
0.192,0.100,0.092,30,1000
0.185,0.103,0.082,27,1000
0.191,0.108,0.083,19,1000
0.199,0.103,0.096,65,1000
0.186,0.101,0.085,52,1000
0.198,0.092,0.106,51,1000
0.194,0.091,0.102,64,1000
0.163,0.093,0.070,8,1000
0.205,0.112,0.093,37,948
0.192,0.100,0.092,56,1000
0.219,0.103,0.116,58,843
0.218,0.106,0.112,83,840
0.196,0.104,0.093,42,1000
0.208,0.107,0.101,46,925
0.178,0.098,0.080,45,1000
0.191,0.105,0.086,83,1000
