avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.209,0.067,0.142,101,873
0.124,0.056,0.068,40,1000
0.149,0.067,0.082,27,1000
0.253,0.100,0.153,101,603
0.188,0.120,0.068,30,1000
0.157,0.089,0.069,37,1000
0.275,0.090,0.186,101,419
0.116,0.046,0.071,13,1000
0.363,0.057,0.306,101,180
0.169,0.099,0.070,8,1000
0.203,0.131,0.071,12,963
0.177,0.057,0.121,93,1000
0.143,0.067,0.075,17,1000
0.139,0.045,0.094,55,1000
0.176,0.099,0.077,21,1000
0.231,0.100,0.131,85,764
0.387,0.057,0.330,101,138
0.139,0.068,0.072,7,1000
0.297,0.089,0.208,101,402
0.145,0.057,0.088,25,1000
0.265,0.090,0.175,100,630
0.155,0.078,0.077,29,1000
0.419,0.121,0.298,101,165
0.368,0.101,0.268,101,277
0.264,0.079,0.185,101,344
0.160,0.068,0.092,10,1000
0.214,0.111,0.103,60,862
0.156,0.057,0.099,64,1000
0.193,0.110,0.083,20,1000
0.309,0.121,0.189,94,422
0.161,0.090,0.072,14,1000
0.123,0.046,0.077,7,1000
0.303,0.122,0.181,65,433
0.169,0.090,0.079,7,1000
0.290,0.046,0.244,101,244
0.192,0.121,0.071,31,1000
0.228,0.122,0.106,35,739
0.227,0.110,0.117,15,768
0.229,0.123,0.106,69,732
0.257,0.111,0.146,64,617
0.150,0.079,0.071,17,1000
0.211,0.134,0.077,15,856
0.156,0.046,0.110,73,1000
0.114,0.045,0.069,9,1000
0.170,0.067,0.103,26,1000
0.190,0.089,0.101,59,1000
0.212,0.112,0.100,59,881
0.231,0.101,0.130,58,764
0.159,0.079,0.080,12,1000
0.435,0.134,0.300,101,204
