avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.128,0.056,0.072,74,1000
0.115,0.042,0.073,77,1000
0.323,0.085,0.238,101,173
0.516,0.043,0.472,101,101
0.102,0.028,0.073,93,1000
0.114,0.042,0.072,79,1000
0.530,0.078,0.452,101,101
0.136,0.064,0.073,4,1000
0.179,0.078,0.101,96,1000
0.513,0.065,0.447,101,101
0.086,0.017,0.069,80,1000
0.121,0.050,0.070,83,1000
0.530,0.074,0.455,101,101
0.385,0.029,0.356,101,131
0.245,0.023,0.222,101,192
0.223,0.076,0.147,101,354
0.148,0.070,0.078,101,968
0.211,0.088,0.123,101,476
0.340,0.064,0.276,101,174
0.369,0.022,0.347,101,133
0.132,0.062,0.070,80,1000
0.115,0.040,0.075,86,1000
0.183,0.071,0.112,101,584
0.135,0.063,0.071,72,1000
0.223,0.062,0.161,101,345
0.173,0.089,0.083,101,896
0.276,0.083,0.193,101,197
0.124,0.052,0.072,80,1000
0.431,0.035,0.396,101,101
0.126,0.054,0.071,74,1000
0.437,0.027,0.410,101,101
0.379,0.042,0.337,101,129
0.433,0.066,0.367,101,115
0.146,0.077,0.069,86,1000
0.444,0.033,0.411,101,106
0.313,0.054,0.258,101,186
0.153,0.075,0.079,86,1000
0.517,0.053,0.463,101,102
0.458,0.087,0.371,101,110
0.153,0.081,0.072,85,1000
0.468,0.072,0.396,101,101
0.202,0.028,0.174,101,283
0.195,0.075,0.120,101,526
0.155,0.082,0.073,86,1000
0.124,0.050,0.073,72,1000
0.097,0.027,0.069,67,1000
0.476,0.053,0.423,101,108
0.140,0.067,0.073,83,1000
0.151,0.068,0.083,101,949
0.470,0.068,0.402,101,102
