avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.148,0.083,0.066,16,1000
0.176,0.089,0.087,70,1000
0.184,0.099,0.085,71,1000
0.170,0.100,0.070,46,1000
0.157,0.089,0.068,24,1000
0.157,0.091,0.066,29,1000
0.166,0.082,0.084,83,1000
0.160,0.082,0.078,43,1000
0.169,0.098,0.071,10,1000
0.173,0.098,0.076,30,1000
0.163,0.083,0.080,40,1000
0.175,0.092,0.082,74,1000
0.161,0.097,0.064,4,1000
0.166,0.100,0.067,1,1000
0.163,0.090,0.072,30,1000
0.169,0.090,0.079,55,1000
0.172,0.083,0.089,93,1000
0.164,0.100,0.064,11,1000
0.180,0.098,0.082,53,1000
0.177,0.099,0.078,39,1000
0.171,0.089,0.082,52,1000
0.175,0.090,0.084,85,1000
0.156,0.082,0.073,42,1000
0.151,0.082,0.069,55,1000
0.176,0.097,0.079,96,1000
0.194,0.101,0.093,101,968
0.159,0.092,0.068,13,1000
0.180,0.098,0.082,46,1000
0.154,0.084,0.069,31,1000
0.156,0.083,0.073,39,1000
0.148,0.084,0.065,0,1000
0.162,0.098,0.063,0,1000
0.167,0.091,0.076,37,1000
0.180,0.100,0.080,78,1000
0.153,0.084,0.069,21,1000
0.145,0.082,0.063,16,1000
0.154,0.091,0.063,1,1000
0.163,0.091,0.072,13,1000
0.150,0.090,0.059,19,1000
0.158,0.091,0.067,24,1000
0.164,0.084,0.080,68,1000
0.175,0.099,0.076,81,1000
0.166,0.086,0.080,39,1000
0.229,0.121,0.108,25,732
0.191,0.107,0.083,71,1000
0.178,0.102,0.076,69,1000
0.161,0.092,0.069,34,1000
0.176,0.086,0.090,90,1000
0.159,0.085,0.074,32,1000
0.171,0.095,0.075,67,1000
