avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.107,0.038,0.069,12,1000
0.140,0.033,0.107,8,1000
0.140,0.033,0.107,12,1000
0.308,0.028,0.281,101,190
0.274,0.066,0.208,101,412
0.175,0.086,0.089,6,1000
0.154,0.081,0.073,28,1000
0.322,0.062,0.260,101,324
0.134,0.060,0.074,14,1000
0.108,0.039,0.069,4,1000
0.415,0.095,0.320,101,156
0.146,0.048,0.097,48,1000
0.190,0.106,0.084,12,1000
0.165,0.057,0.108,67,1000
0.170,0.043,0.127,73,1000
0.188,0.097,0.091,33,1000
0.280,0.034,0.246,101,270
0.265,0.069,0.195,101,400
0.112,0.029,0.084,4,1000
0.134,0.060,0.074,19,1000
0.228,0.087,0.141,60,799
0.105,0.039,0.066,29,1000
0.154,0.043,0.111,51,1000
0.242,0.105,0.137,88,696
0.211,0.092,0.119,73,910
0.134,0.064,0.071,29,1000
0.322,0.053,0.269,101,217
0.217,0.100,0.117,74,856
0.147,0.053,0.093,48,1000
0.143,0.082,0.061,22,1000
0.316,0.053,0.263,101,221
0.167,0.073,0.094,67,1000
0.166,0.089,0.078,18,1000
0.209,0.098,0.111,31,920
0.221,0.072,0.150,101,462
0.154,0.027,0.127,71,1000
0.172,0.036,0.136,93,1000
0.163,0.069,0.094,44,1000
0.127,0.027,0.100,93,1000
0.099,0.032,0.067,18,1000
0.208,0.099,0.109,15,927
0.198,0.102,0.096,16,1000
0.234,0.041,0.194,101,322
0.112,0.045,0.067,12,1000
0.307,0.088,0.219,101,331
0.283,0.067,0.216,101,380
0.122,0.041,0.082,27,1000
0.151,0.066,0.085,5,1000
0.154,0.061,0.093,39,1000
0.119,0.054,0.064,28,1000
