avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.259,0.200,0.059,0,1
0.180,0.133,0.047,1,1000
0.132,0.081,0.051,0,1000
0.176,0.130,0.047,1,1000
0.267,0.218,0.049,0,1
0.221,0.152,0.069,4,694
0.269,0.217,0.052,0,1
0.227,0.152,0.074,3,642
0.270,0.219,0.051,0,1
0.215,0.154,0.061,0,761
0.161,0.107,0.054,3,1000
0.195,0.130,0.065,3,1000
0.204,0.155,0.049,0,925
0.134,0.081,0.053,0,1000
0.149,0.079,0.070,0,1000
0.198,0.127,0.070,2,1000
0.299,0.243,0.056,0,1
0.219,0.152,0.067,0,717
0.127,0.081,0.046,0,1000
0.127,0.080,0.047,0,1000
0.270,0.222,0.048,0,1
0.251,0.174,0.077,0,336
0.274,0.221,0.053,0,1
0.165,0.105,0.060,2,1000
0.272,0.217,0.055,0,1
0.261,0.206,0.055,0,1
0.176,0.104,0.072,1,1000
0.249,0.201,0.048,0,1
0.157,0.105,0.052,1,1000
0.248,0.200,0.048,0,1
0.267,0.216,0.051,0,1
0.190,0.130,0.060,2,1000
0.136,0.081,0.055,1,1000
0.205,0.153,0.053,0,902
0.227,0.153,0.074,0,642
0.200,0.129,0.071,1,1000
0.160,0.106,0.055,3,1000
0.216,0.153,0.063,2,745
0.164,0.106,0.059,2,1000
0.147,0.081,0.067,0,1000
0.152,0.105,0.046,1,1000
0.162,0.104,0.057,2,1000
0.184,0.129,0.054,0,1000
0.142,0.081,0.061,1,1000
0.174,0.129,0.045,0,1000
0.232,0.151,0.081,2,607
0.210,0.154,0.056,0,824
0.213,0.154,0.059,2,777
0.164,0.106,0.058,1,1000
0.159,0.105,0.054,1,1000
