avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.412,0.094,0.318,101,230
0.128,0.048,0.080,35,1000
0.208,0.125,0.083,17,910
0.379,0.137,0.242,85,262
0.451,0.123,0.328,101,155
0.205,0.103,0.102,3,954
0.164,0.072,0.091,15,1000
0.231,0.106,0.125,49,754
0.332,0.117,0.215,75,387
0.199,0.107,0.092,12,1000
0.194,0.083,0.111,28,1000
0.210,0.104,0.106,35,910
0.201,0.072,0.130,73,989
0.114,0.046,0.069,9,1000
0.189,0.089,0.100,29,1000
0.225,0.134,0.091,23,728
0.154,0.079,0.075,6,1000
0.172,0.057,0.115,85,1000
0.188,0.120,0.068,25,1000
0.170,0.045,0.125,64,1000
0.259,0.045,0.214,101,303
0.154,0.067,0.088,39,1000
0.308,0.067,0.241,101,302
0.179,0.100,0.079,3,1000
0.196,0.089,0.107,20,1000
0.211,0.111,0.100,36,888
0.128,0.056,0.071,19,1000
0.237,0.122,0.115,23,680
0.137,0.057,0.080,17,1000
0.169,0.078,0.092,29,1000
0.248,0.133,0.115,54,581
0.189,0.121,0.069,29,1000
0.158,0.079,0.079,41,1000
0.183,0.111,0.071,3,1000
0.198,0.045,0.153,101,645
0.199,0.089,0.110,101,958
0.201,0.057,0.145,101,705
0.281,0.089,0.192,101,304
0.334,0.099,0.235,101,184
0.182,0.056,0.127,45,1000
0.150,0.067,0.083,20,1000
0.170,0.100,0.071,12,1000
0.272,0.100,0.172,101,437
0.159,0.067,0.092,54,1000
0.219,0.133,0.086,19,781
0.221,0.067,0.154,101,614
0.275,0.121,0.154,83,511
0.166,0.067,0.099,54,1000
0.221,0.133,0.087,15,764
0.226,0.133,0.093,16,719
