avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.373,0.200,0.173,0,1
0.155,0.088,0.066,10,1000
0.171,0.101,0.070,11,1000
0.186,0.105,0.082,75,1000
0.175,0.094,0.081,31,1000
0.192,0.095,0.097,73,1000
0.187,0.078,0.109,101,910
0.144,0.078,0.067,26,1000
0.175,0.095,0.080,50,1000
0.177,0.093,0.084,59,1000
0.162,0.095,0.067,23,1000
0.172,0.102,0.070,40,1000
0.170,0.085,0.085,71,1000
0.211,0.093,0.118,101,808
0.160,0.100,0.060,5,1000
0.163,0.084,0.079,44,1000
0.147,0.087,0.060,35,1000
0.185,0.100,0.085,49,1000
0.183,0.076,0.107,101,815
0.162,0.085,0.077,56,1000
0.177,0.103,0.074,45,1000
0.128,0.078,0.050,14,1000
0.158,0.086,0.071,30,1000
0.151,0.077,0.073,54,1000
0.210,0.099,0.111,101,744
0.174,0.101,0.074,22,1000
0.201,0.094,0.107,94,994
0.189,0.095,0.094,88,1000
0.158,0.092,0.066,6,1000
0.195,0.084,0.111,101,996
0.151,0.077,0.074,26,1000
0.176,0.084,0.091,71,1000
0.175,0.084,0.091,60,1000
0.165,0.084,0.081,47,1000
0.146,0.077,0.069,16,1000
0.199,0.092,0.107,101,657
0.159,0.094,0.066,22,1000
0.189,0.086,0.103,88,1000
0.150,0.077,0.072,32,1000
0.155,0.077,0.078,43,1000
0.160,0.085,0.075,23,1000
0.157,0.092,0.065,4,1000
0.162,0.085,0.077,54,1000
0.195,0.085,0.110,101,884
0.169,0.094,0.075,35,1000
0.168,0.094,0.074,59,1000
0.160,0.076,0.083,45,1000
0.186,0.101,0.085,62,1000
0.158,0.092,0.066,5,1000
0.188,0.103,0.085,81,1000
