avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.314,0.055,0.259,101,202
0.163,0.067,0.097,49,1000
0.214,0.046,0.167,101,514
0.147,0.079,0.068,19,1000
0.191,0.107,0.084,45,1000
0.101,0.032,0.068,22,1000
0.096,0.028,0.068,16,1000
0.126,0.027,0.099,80,1000
0.129,0.042,0.087,43,1000
0.175,0.067,0.107,84,1000
0.181,0.063,0.119,101,852
0.144,0.055,0.089,36,1000
0.178,0.081,0.097,48,1000
0.397,0.056,0.341,101,134
0.124,0.055,0.069,22,1000
0.228,0.101,0.127,101,762
0.123,0.050,0.072,19,1000
0.119,0.047,0.073,3,1000
0.134,0.051,0.083,48,1000
0.208,0.102,0.106,52,925
0.190,0.092,0.098,69,1000
0.204,0.033,0.171,101,527
0.355,0.041,0.314,101,139
0.199,0.032,0.167,101,528
0.223,0.058,0.165,101,328
0.156,0.081,0.075,14,1000
0.174,0.103,0.071,5,1000
0.121,0.051,0.070,14,1000
0.109,0.041,0.068,35,1000
0.162,0.094,0.068,16,1000
0.104,0.027,0.076,32,1000
0.424,0.065,0.359,101,114
0.187,0.058,0.129,101,664
0.199,0.107,0.092,26,1000
0.170,0.093,0.078,13,1000
0.143,0.074,0.069,5,1000
0.248,0.102,0.145,59,674
0.152,0.072,0.080,12,1000
0.321,0.095,0.225,101,267
0.321,0.059,0.262,101,221
0.246,0.088,0.158,101,473
0.145,0.079,0.066,33,1000
0.114,0.046,0.068,33,1000
0.167,0.093,0.074,16,1000
0.145,0.063,0.082,1,1000
0.130,0.055,0.074,10,1000
0.335,0.098,0.237,96,429
0.159,0.053,0.106,24,1000
0.217,0.101,0.116,6,856
0.291,0.071,0.220,71,585
