avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.138,0.042,0.096,22,1000
0.274,0.044,0.230,101,388
0.213,0.083,0.131,73,897
0.223,0.081,0.142,41,839
0.219,0.048,0.171,101,865
0.265,0.046,0.219,101,442
0.242,0.018,0.224,101,474
0.178,0.060,0.118,28,1000
0.230,0.051,0.179,101,396
0.135,0.062,0.073,11,1000
0.287,0.077,0.210,101,306
0.380,0.056,0.324,101,197
0.386,0.015,0.371,101,145
0.184,0.046,0.138,77,1000
0.143,0.064,0.078,5,1000
0.363,0.093,0.270,101,248
0.196,0.084,0.112,82,1000
0.225,0.091,0.134,57,812
0.173,0.093,0.080,7,1000
0.197,0.042,0.155,101,608
0.088,0.018,0.070,1,1000
0.113,0.042,0.070,12,1000
0.129,0.047,0.082,11,1000
0.107,0.037,0.070,11,1000
0.135,0.059,0.076,23,1000
0.112,0.015,0.097,34,1000
0.354,0.042,0.312,101,165
0.283,0.032,0.251,101,287
0.348,0.091,0.257,101,257
0.162,0.055,0.107,41,1000
0.098,0.026,0.073,5,1000
0.158,0.086,0.072,23,1000
0.239,0.085,0.154,97,746
0.209,0.094,0.115,54,921
0.178,0.091,0.087,62,1000
0.171,0.095,0.076,8,1000
0.150,0.058,0.092,20,1000
0.294,0.058,0.236,101,276
0.108,0.036,0.071,20,1000
0.139,0.065,0.074,18,1000
0.128,0.023,0.105,14,1000
0.183,0.077,0.106,68,1000
0.147,0.074,0.073,14,1000
0.105,0.032,0.073,18,1000
0.193,0.039,0.154,95,1000
0.179,0.082,0.097,53,1000
0.120,0.050,0.070,21,1000
0.151,0.073,0.077,13,1000
0.209,0.070,0.139,101,806
0.136,0.045,0.091,58,1000
