avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.231,0.141,0.090,0,657
0.265,0.201,0.064,0,1
0.418,0.306,0.112,0,1
0.150,0.094,0.056,0,1000
0.159,0.091,0.067,4,1000
0.218,0.138,0.081,2,780
0.294,0.248,0.046,0,1
0.159,0.090,0.070,2,1000
0.254,0.210,0.044,0,1
0.161,0.107,0.054,1,1000
0.191,0.130,0.061,1,1000
0.207,0.154,0.053,0,868
0.176,0.108,0.067,3,1000
0.144,0.087,0.058,0,1000
0.199,0.132,0.067,0,1000
0.149,0.086,0.063,1,1000
0.191,0.133,0.058,3,1000
0.212,0.157,0.055,0,773
0.174,0.110,0.063,1,1000
0.164,0.112,0.052,1,1000
0.146,0.088,0.059,1,1000
0.210,0.157,0.053,0,811
0.157,0.111,0.046,0,1000
0.152,0.087,0.066,1,1000
0.292,0.247,0.045,0,1
0.191,0.134,0.056,2,1000
0.164,0.111,0.054,1,1000
0.188,0.136,0.053,1,1000
0.291,0.240,0.051,0,1
0.149,0.087,0.062,0,1000
0.144,0.086,0.058,3,1000
0.210,0.159,0.050,0,805
0.199,0.135,0.064,4,1000
0.218,0.161,0.057,1,678
0.255,0.204,0.051,0,1
0.187,0.136,0.050,0,1000
0.186,0.137,0.049,1,1000
0.192,0.136,0.056,1,1000
0.189,0.137,0.053,2,1000
0.157,0.087,0.070,0,1000
0.137,0.087,0.049,0,1000
0.187,0.135,0.052,0,1000
0.204,0.135,0.070,2,936
0.200,0.134,0.066,1,995
0.147,0.087,0.061,2,1000
0.142,0.086,0.056,0,1000
0.246,0.200,0.046,0,1
0.170,0.110,0.060,2,1000
0.191,0.135,0.056,1,1000
0.137,0.087,0.050,0,1000
