avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.207,0.111,0.097,47,927
0.281,0.133,0.148,36,451
0.281,0.122,0.159,84,492
0.177,0.078,0.099,46,1000
0.337,0.090,0.247,101,258
0.160,0.090,0.071,1,1000
0.112,0.046,0.067,11,1000
0.169,0.090,0.079,8,1000
0.433,0.057,0.376,101,111
0.144,0.077,0.067,33,1000
0.356,0.057,0.299,101,167
0.175,0.056,0.119,90,1000
0.145,0.077,0.068,47,1000
0.205,0.121,0.084,24,943
0.213,0.068,0.145,60,914
0.214,0.112,0.102,19,866
0.219,0.100,0.118,85,844
0.166,0.090,0.076,27,1000
0.238,0.122,0.116,80,672
0.166,0.089,0.077,24,1000
0.328,0.057,0.271,101,219
0.196,0.101,0.095,19,1000
0.125,0.057,0.069,51,1000
0.237,0.044,0.193,101,439
0.112,0.045,0.067,6,1000
0.245,0.133,0.113,40,600
0.239,0.090,0.149,87,739
0.142,0.067,0.075,16,1000
0.180,0.110,0.071,28,1000
0.228,0.133,0.095,20,708
0.131,0.068,0.063,45,1000
0.178,0.045,0.133,101,965
0.281,0.132,0.149,55,455
0.180,0.110,0.070,8,1000
0.136,0.068,0.068,13,1000
0.194,0.120,0.074,22,1000
0.274,0.132,0.143,37,482
0.244,0.111,0.133,84,667
0.173,0.100,0.073,15,1000
0.187,0.112,0.075,5,1000
0.157,0.079,0.078,7,1000
0.184,0.080,0.105,52,1000
0.163,0.079,0.085,16,1000
0.178,0.079,0.099,57,1000
0.145,0.046,0.099,48,1000
0.394,0.121,0.272,101,160
0.186,0.090,0.097,65,1000
0.341,0.121,0.220,96,360
0.181,0.110,0.071,10,1000
0.203,0.133,0.071,16,951
