avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.140,0.078,0.062,2,1000
0.165,0.102,0.063,0,1000
0.189,0.128,0.061,1,1000
0.198,0.154,0.044,0,1000
0.204,0.128,0.076,0,945
0.246,0.176,0.070,1,339
0.207,0.154,0.053,1,870
0.184,0.129,0.054,0,1000
0.177,0.105,0.072,1,1000
0.148,0.080,0.068,3,1000
0.138,0.079,0.058,1,1000
0.249,0.201,0.048,0,1
0.268,0.216,0.052,0,1
0.204,0.152,0.051,0,929
0.174,0.104,0.070,11,1000
0.151,0.080,0.072,0,1000
0.178,0.136,0.042,0,1000
0.180,0.129,0.051,0,1000
0.145,0.079,0.065,1,1000
0.255,0.200,0.055,0,1
0.175,0.129,0.046,0,1000
0.160,0.105,0.054,0,1000
0.194,0.128,0.066,2,1000
0.203,0.154,0.049,0,941
0.280,0.221,0.059,0,1
0.159,0.105,0.054,0,1000
0.266,0.219,0.047,0,1
0.213,0.154,0.059,0,779
0.160,0.105,0.055,1,1000
0.214,0.153,0.060,0,780
0.138,0.081,0.057,0,1000
0.160,0.104,0.056,1,1000
0.141,0.080,0.061,2,1000
0.129,0.079,0.050,0,1000
0.191,0.140,0.051,0,1000
0.193,0.116,0.078,25,1000
0.159,0.091,0.068,2,1000
0.145,0.089,0.056,0,1000
0.181,0.113,0.068,0,1000
0.223,0.164,0.059,1,611
0.190,0.116,0.074,0,1000
0.196,0.141,0.055,0,1000
0.255,0.210,0.045,0,1
0.217,0.169,0.048,0,655
0.146,0.092,0.054,0,1000
0.169,0.116,0.054,2,1000
0.205,0.140,0.065,2,925
0.224,0.165,0.058,0,601
0.144,0.092,0.052,0,1000
0.157,0.090,0.067,2,1000
