avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.098,0.023,0.075,4,1000
0.188,0.091,0.097,42,1000
0.174,0.036,0.138,87,1000
0.204,0.084,0.120,57,967
0.277,0.018,0.259,101,314
0.192,0.074,0.119,70,1000
0.103,0.021,0.082,6,1000
0.229,0.086,0.143,101,551
0.132,0.049,0.082,14,1000
0.216,0.042,0.174,101,594
0.256,0.092,0.164,71,657
0.149,0.033,0.117,51,1000
0.301,0.087,0.213,79,529
0.377,0.061,0.317,101,205
0.442,0.062,0.380,101,138
0.155,0.021,0.134,101,842
0.134,0.046,0.089,23,1000
0.181,0.029,0.152,101,669
0.219,0.094,0.125,34,846
0.202,0.078,0.124,15,988
0.147,0.044,0.103,28,1000
0.138,0.022,0.116,32,1000
0.200,0.087,0.113,23,1000
0.155,0.035,0.120,49,1000
0.204,0.059,0.144,25,976
0.140,0.043,0.097,5,1000
0.350,0.054,0.296,101,290
0.363,0.075,0.288,101,306
0.142,0.045,0.097,12,1000
0.167,0.072,0.094,1,1000
0.334,0.026,0.309,101,207
0.106,0.032,0.075,18,1000
0.128,0.045,0.082,1,1000
0.185,0.079,0.106,44,1000
0.094,0.015,0.078,26,1000
0.128,0.015,0.113,89,1000
0.154,0.041,0.114,89,1000
0.215,0.052,0.164,101,614
0.205,0.098,0.107,52,953
0.117,0.030,0.087,20,1000
0.273,0.082,0.191,88,617
0.163,0.065,0.097,5,1000
0.334,0.077,0.257,101,331
0.198,0.024,0.174,101,681
0.150,0.032,0.118,63,1000
0.147,0.062,0.085,6,1000
0.392,0.091,0.302,101,277
0.233,0.089,0.144,18,775
0.293,0.092,0.201,101,539
0.124,0.034,0.090,13,1000
