avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.165,0.059,0.106,43,1000
0.416,0.067,0.349,101,147
0.140,0.048,0.091,10,1000
0.179,0.075,0.104,53,1000
0.127,0.051,0.076,10,1000
0.159,0.017,0.141,86,1000
0.104,0.027,0.076,10,1000
0.107,0.039,0.068,4,1000
0.155,0.083,0.072,18,1000
0.193,0.051,0.143,97,1000
0.196,0.089,0.108,44,1000
0.148,0.071,0.078,7,1000
0.172,0.066,0.106,73,1000
0.175,0.092,0.083,27,1000
0.172,0.084,0.087,20,1000
0.127,0.057,0.070,19,1000
0.187,0.031,0.156,101,633
0.161,0.083,0.078,33,1000
0.387,0.040,0.347,101,147
0.102,0.033,0.068,6,1000
0.216,0.095,0.121,38,872
0.336,0.107,0.229,101,355
0.236,0.039,0.197,101,401
0.098,0.028,0.070,5,1000
0.127,0.053,0.074,1,1000
0.175,0.079,0.096,36,1000
0.256,0.088,0.169,101,596
0.191,0.073,0.117,18,1000
0.427,0.078,0.349,101,140
0.242,0.079,0.163,101,477
0.290,0.053,0.236,101,297
0.162,0.089,0.073,12,1000
0.193,0.108,0.085,6,1000
0.170,0.086,0.084,26,1000
0.185,0.070,0.115,63,1000
0.121,0.048,0.073,22,1000
0.173,0.100,0.073,6,1000
0.168,0.094,0.074,2,1000
0.196,0.093,0.103,58,1000
0.242,0.093,0.149,96,721
0.211,0.079,0.132,101,849
0.177,0.081,0.096,18,1000
0.207,0.108,0.099,51,930
0.166,0.088,0.078,6,1000
0.141,0.065,0.076,19,1000
0.192,0.079,0.113,82,1000
0.139,0.069,0.071,32,1000
0.174,0.068,0.106,4,1000
0.128,0.048,0.080,8,1000
0.364,0.077,0.288,101,168
