avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.443,0.028,0.415,101,109
0.397,0.057,0.340,101,106
0.287,0.042,0.245,101,193
0.450,0.063,0.387,101,102
0.216,0.033,0.183,101,247
0.106,0.042,0.064,84,1000
0.109,0.043,0.066,75,1000
0.104,0.033,0.071,97,1000
0.506,0.058,0.448,101,101
0.484,0.054,0.430,101,101
0.485,0.076,0.409,101,102
0.394,0.046,0.348,101,106
0.523,0.028,0.495,101,101
0.660,0.079,0.581,101,101
0.134,0.048,0.086,78,1000
0.126,0.049,0.077,80,1000
0.571,0.066,0.505,101,101
0.166,0.074,0.092,101,850
0.603,0.068,0.535,101,101
0.538,0.076,0.462,101,101
0.186,0.088,0.098,98,1000
0.538,0.079,0.459,101,101
0.413,0.076,0.338,101,201
0.533,0.099,0.434,101,169
0.270,0.079,0.191,101,419
0.495,0.051,0.444,101,101
0.136,0.054,0.081,72,1000
0.160,0.079,0.081,75,1000
0.152,0.073,0.079,92,1000
0.543,0.063,0.480,101,101
0.141,0.061,0.080,85,1000
0.178,0.056,0.123,101,520
0.544,0.087,0.457,101,101
0.277,0.046,0.231,101,222
0.343,0.059,0.284,101,151
0.330,0.089,0.241,101,208
0.533,0.087,0.446,101,102
0.555,0.083,0.472,101,102
0.134,0.063,0.071,76,1000
0.152,0.082,0.070,77,1000
0.476,0.071,0.405,101,106
0.152,0.081,0.071,75,1000
0.102,0.032,0.069,76,1000
0.116,0.049,0.067,76,1000
0.184,0.059,0.125,101,518
0.392,0.046,0.346,101,159
0.504,0.062,0.442,101,112
0.410,0.039,0.371,101,101
0.123,0.052,0.071,86,1000
0.294,0.040,0.254,101,166
