avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.210,0.139,0.071,1,866
0.161,0.091,0.070,13,1000
0.261,0.215,0.046,0,1
0.185,0.114,0.070,0,1000
0.142,0.092,0.051,0,1000
0.215,0.167,0.048,1,686
0.301,0.247,0.054,0,1
0.153,0.092,0.061,1,1000
0.189,0.140,0.048,0,1000
0.177,0.121,0.056,0,1000
0.200,0.126,0.074,1,1000
0.261,0.206,0.055,0,1
0.215,0.124,0.091,2,836
0.174,0.122,0.053,0,1000
0.202,0.121,0.081,1,981
0.430,0.215,0.215,0,1
0.354,0.250,0.104,0,1
0.459,0.224,0.235,0,1
0.444,0.253,0.191,0,1
0.372,0.207,0.165,0,1
0.287,0.229,0.058,0,1
0.192,0.124,0.067,2,1000
0.280,0.224,0.056,0,1
0.271,0.212,0.059,0,1
0.191,0.099,0.093,0,1000
0.154,0.096,0.058,0,1000
0.156,0.094,0.062,2,1000
0.212,0.145,0.067,2,817
0.190,0.097,0.092,2,1000
0.192,0.123,0.069,0,1000
0.268,0.218,0.050,0,1
0.186,0.121,0.065,1,1000
0.155,0.097,0.057,0,1000
0.208,0.122,0.086,2,911
0.225,0.150,0.075,0,670
0.267,0.212,0.055,0,1
0.191,0.126,0.065,0,1000
0.191,0.125,0.066,0,1000
0.307,0.228,0.079,0,1
0.197,0.123,0.073,1,1000
0.210,0.124,0.086,2,889
0.238,0.147,0.091,3,587
0.248,0.148,0.099,0,521
0.208,0.149,0.059,0,868
0.172,0.100,0.072,1,1000
0.254,0.174,0.080,0,330
0.161,0.097,0.064,3,1000
0.146,0.096,0.049,0,1000
0.175,0.121,0.054,0,1000
0.263,0.167,0.096,0,344
