avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.641,0.099,0.542,101,101
0.517,0.098,0.419,101,138
0.609,0.089,0.520,101,101
0.157,0.075,0.082,75,1000
0.555,0.041,0.514,101,101
0.130,0.041,0.089,80,1000
0.691,0.068,0.623,101,101
0.608,0.088,0.520,101,101
0.517,0.051,0.466,101,101
0.438,0.045,0.393,101,103
0.446,0.045,0.400,101,101
0.135,0.063,0.073,88,1000
0.171,0.060,0.111,101,682
0.514,0.071,0.443,101,106
0.180,0.079,0.101,101,707
0.623,0.095,0.528,101,101
0.670,0.084,0.585,101,101
0.537,0.071,0.466,101,101
0.156,0.079,0.077,77,1000
0.155,0.059,0.096,67,1000
0.356,0.101,0.256,101,255
0.306,0.066,0.240,101,260
0.421,0.074,0.347,101,134
0.153,0.073,0.080,63,1000
0.132,0.060,0.072,77,1000
0.161,0.084,0.077,80,1000
0.343,0.088,0.255,101,193
0.310,0.081,0.228,101,222
0.299,0.055,0.245,101,227
0.362,0.100,0.262,101,220
0.162,0.075,0.087,73,1000
0.182,0.066,0.116,101,738
0.153,0.069,0.085,94,1000
0.585,0.062,0.522,101,101
0.165,0.079,0.086,83,1000
0.618,0.062,0.556,101,101
0.148,0.061,0.087,78,1000
0.144,0.067,0.076,83,1000
0.182,0.047,0.136,101,449
0.532,0.089,0.443,101,124
0.119,0.045,0.075,67,1000
0.466,0.052,0.414,101,101
0.153,0.081,0.073,78,1000
0.122,0.044,0.077,96,1000
0.126,0.051,0.075,98,1000
0.145,0.071,0.074,98,1000
0.368,0.080,0.288,101,146
0.187,0.089,0.098,101,660
0.133,0.065,0.068,82,1000
0.133,0.044,0.089,101,780
