avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.169,0.079,0.089,49,1000
0.170,0.099,0.071,17,1000
0.136,0.068,0.067,4,1000
0.158,0.093,0.065,4,1000
0.160,0.093,0.067,22,1000
0.154,0.086,0.068,25,1000
0.138,0.068,0.070,3,1000
0.165,0.067,0.098,78,1000
0.151,0.075,0.076,40,1000
0.146,0.083,0.063,6,1000
0.188,0.092,0.096,63,1000
0.151,0.082,0.069,9,1000
0.234,0.108,0.126,101,622
0.153,0.085,0.068,7,1000
0.139,0.077,0.062,23,1000
0.181,0.083,0.097,57,1000
0.186,0.097,0.090,60,1000
0.252,0.106,0.146,101,401
0.163,0.077,0.085,69,1000
0.204,0.076,0.128,101,721
0.164,0.076,0.088,54,1000
0.141,0.068,0.073,50,1000
0.136,0.074,0.062,3,1000
0.215,0.095,0.120,101,783
0.161,0.069,0.092,68,1000
0.149,0.076,0.073,28,1000
0.161,0.082,0.079,35,1000
0.203,0.102,0.101,74,974
0.167,0.076,0.092,95,1000
0.162,0.093,0.069,20,1000
0.182,0.096,0.086,53,1000
0.191,0.093,0.098,80,1000
0.138,0.068,0.069,19,1000
0.189,0.068,0.121,101,702
0.166,0.068,0.098,95,1000
0.174,0.098,0.076,36,1000
0.189,0.093,0.096,90,1000
0.166,0.093,0.073,47,1000
0.176,0.100,0.076,23,1000
0.185,0.077,0.108,101,807
0.158,0.068,0.090,68,1000
0.193,0.104,0.089,75,1000
0.168,0.086,0.083,78,1000
0.173,0.096,0.077,23,1000
0.172,0.068,0.104,91,1000
0.164,0.097,0.067,44,1000
0.171,0.093,0.079,39,1000
0.148,0.084,0.064,1,1000
0.183,0.093,0.090,71,1000
0.190,0.097,0.094,68,1000
