avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.183,0.129,0.055,0,1000
0.130,0.080,0.049,0,1000
0.208,0.152,0.056,1,868
0.213,0.154,0.059,1,780
0.131,0.081,0.050,1,1000
0.164,0.104,0.060,1,1000
0.181,0.105,0.076,1,1000
0.145,0.080,0.065,2,1000
0.257,0.212,0.045,0,1
0.147,0.079,0.068,1,1000
0.276,0.218,0.058,0,1
0.194,0.127,0.067,2,1000
0.195,0.128,0.067,3,1000
0.137,0.080,0.057,7,1000
0.171,0.103,0.068,2,1000
0.225,0.178,0.047,0,480
0.176,0.130,0.046,0,1000
0.147,0.080,0.067,3,1000
0.142,0.079,0.063,0,1000
0.179,0.128,0.051,0,1000
0.274,0.218,0.056,0,1
0.141,0.080,0.061,0,1000
0.172,0.103,0.069,1,1000
0.256,0.201,0.055,0,1
0.211,0.153,0.058,0,809
0.156,0.105,0.051,1,1000
0.209,0.153,0.057,0,836
0.162,0.106,0.056,2,1000
0.180,0.131,0.049,0,1000
0.139,0.080,0.059,1,1000
0.196,0.127,0.069,5,1000
0.223,0.151,0.072,1,675
0.187,0.130,0.057,1,1000
0.177,0.130,0.047,0,1000
0.162,0.105,0.057,1,1000
0.250,0.201,0.049,0,1
0.203,0.128,0.075,1,958
0.210,0.154,0.056,0,827
0.183,0.130,0.053,0,1000
0.207,0.155,0.052,0,868
0.210,0.154,0.056,2,822
0.153,0.106,0.047,0,1000
0.270,0.214,0.056,0,1
0.251,0.203,0.048,0,1
0.164,0.105,0.059,0,1000
0.220,0.153,0.067,4,699
0.198,0.129,0.069,0,1000
0.256,0.202,0.054,0,1
0.225,0.152,0.073,2,666
0.256,0.208,0.048,0,1
