avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.559,0.073,0.486,101,102
0.263,0.071,0.191,101,295
0.217,0.066,0.151,101,341
0.470,0.039,0.432,101,101
0.124,0.056,0.069,84,1000
0.156,0.060,0.096,101,777
0.138,0.064,0.074,80,1000
0.135,0.040,0.094,101,748
0.452,0.062,0.390,101,113
0.181,0.088,0.093,95,1000
0.102,0.033,0.069,84,1000
0.528,0.084,0.444,101,101
0.096,0.027,0.069,86,1000
0.113,0.038,0.075,92,1000
0.150,0.077,0.073,83,1000
0.329,0.066,0.263,101,170
0.128,0.032,0.095,101,694
0.333,0.035,0.298,101,161
0.418,0.075,0.343,101,132
0.236,0.085,0.151,101,392
0.131,0.059,0.072,78,1000
0.169,0.081,0.088,101,732
0.099,0.033,0.066,82,1000
0.521,0.080,0.441,101,101
0.149,0.076,0.073,74,1000
0.098,0.028,0.070,73,1000
0.148,0.076,0.071,74,1000
0.414,0.059,0.355,101,117
0.207,0.065,0.141,101,444
0.103,0.033,0.071,100,1000
0.106,0.027,0.078,94,1000
0.217,0.055,0.161,101,360
0.097,0.028,0.069,73,1000
0.152,0.070,0.083,101,780
0.115,0.047,0.068,81,1000
0.145,0.047,0.097,88,1000
0.199,0.082,0.117,101,675
0.504,0.080,0.425,101,102
0.145,0.040,0.104,101,614
0.107,0.038,0.069,84,1000
0.152,0.081,0.072,79,1000
0.377,0.085,0.291,101,148
0.131,0.059,0.072,84,1000
0.538,0.079,0.459,101,106
0.378,0.048,0.330,101,134
0.121,0.052,0.069,81,1000
0.494,0.069,0.425,101,101
0.338,0.086,0.252,101,185
0.438,0.041,0.397,101,103
0.106,0.038,0.068,75,1000
