avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.138,0.059,0.078,18,1000
0.134,0.059,0.075,5,1000
0.137,0.059,0.078,48,1000
0.170,0.093,0.077,10,1000
0.178,0.090,0.088,60,1000
0.205,0.089,0.116,101,875
0.143,0.074,0.069,1,1000
0.160,0.085,0.075,32,1000
0.167,0.091,0.076,24,1000
0.137,0.060,0.077,37,1000
0.201,0.102,0.100,101,886
0.177,0.103,0.074,18,1000
0.151,0.060,0.090,51,1000
0.130,0.068,0.062,27,1000
0.175,0.089,0.086,38,1000
0.147,0.067,0.081,37,1000
0.210,0.082,0.127,101,626
0.153,0.059,0.094,63,1000
0.150,0.067,0.082,57,1000
0.204,0.102,0.102,83,964
0.169,0.089,0.080,51,1000
0.179,0.077,0.102,95,1000
0.142,0.067,0.075,29,1000
0.185,0.102,0.083,59,1000
0.142,0.068,0.074,18,1000
0.157,0.088,0.068,62,1000
0.159,0.088,0.070,28,1000
0.176,0.099,0.077,66,1000
0.153,0.075,0.078,38,1000
0.195,0.091,0.104,101,836
0.148,0.075,0.074,8,1000
0.186,0.097,0.089,101,990
0.179,0.097,0.083,49,1000
0.166,0.068,0.098,101,978
0.149,0.083,0.066,0,1000
0.146,0.086,0.060,16,1000
0.182,0.089,0.094,75,1000
0.188,0.089,0.099,86,1000
0.139,0.068,0.071,28,1000
0.162,0.075,0.087,64,1000
0.125,0.059,0.067,2,1000
0.152,0.086,0.066,2,1000
0.130,0.069,0.062,25,1000
0.148,0.081,0.067,9,1000
0.168,0.093,0.076,32,1000
0.189,0.088,0.101,82,1000
0.144,0.059,0.085,93,1000
0.160,0.081,0.079,45,1000
0.176,0.100,0.076,55,1000
0.168,0.094,0.074,7,1000
