avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.167,0.078,0.089,88,1000
0.158,0.088,0.070,5,1000
0.164,0.090,0.074,32,1000
0.197,0.089,0.108,95,1000
0.171,0.084,0.087,57,1000
0.130,0.067,0.063,1,1000
0.191,0.083,0.108,101,929
0.153,0.058,0.095,78,1000
0.162,0.086,0.075,30,1000
0.161,0.075,0.086,50,1000
0.190,0.100,0.090,37,1000
0.140,0.074,0.066,6,1000
0.160,0.067,0.093,71,1000
0.171,0.081,0.090,66,1000
0.145,0.073,0.072,45,1000
0.133,0.067,0.066,29,1000
0.122,0.067,0.055,2,1000
0.186,0.087,0.098,101,955
0.175,0.085,0.091,90,1000
0.122,0.069,0.053,11,1000
0.161,0.067,0.094,61,1000
0.161,0.075,0.085,68,1000
0.147,0.066,0.082,84,1000
0.149,0.058,0.090,58,1000
0.183,0.096,0.087,64,1000
0.146,0.075,0.071,14,1000
0.139,0.077,0.062,11,1000
0.160,0.084,0.076,43,1000
0.166,0.081,0.086,49,1000
0.139,0.075,0.064,35,1000
0.156,0.094,0.062,37,1000
0.140,0.074,0.066,7,1000
0.119,0.058,0.060,6,1000
0.167,0.088,0.079,75,1000
0.164,0.101,0.063,19,1000
0.133,0.060,0.073,19,1000
0.192,0.102,0.091,101,821
0.156,0.082,0.074,30,1000
0.187,0.094,0.092,80,1000
0.169,0.091,0.078,73,1000
0.187,0.097,0.090,82,1000
0.134,0.060,0.074,12,1000
0.131,0.059,0.072,34,1000
0.178,0.095,0.083,62,1000
0.187,0.089,0.099,75,1000
0.194,0.099,0.095,7,1000
0.194,0.098,0.096,59,1000
0.157,0.076,0.081,44,1000
0.168,0.060,0.107,101,774
0.185,0.102,0.082,59,1000
