avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.293,0.132,0.160,38,422
0.210,0.135,0.075,6,868
0.328,0.064,0.264,101,215
0.195,0.082,0.113,52,1000
0.263,0.135,0.128,74,509
0.352,0.082,0.270,101,209
0.219,0.099,0.119,23,844
0.180,0.082,0.099,7,1000
0.238,0.135,0.103,27,628
0.242,0.136,0.106,45,606
0.173,0.100,0.072,1,1000
0.374,0.064,0.310,101,149
0.195,0.118,0.077,23,1000
0.230,0.154,0.076,2,604
0.248,0.153,0.095,32,492
0.186,0.101,0.085,3,1000
0.244,0.136,0.107,34,594
0.297,0.118,0.179,76,460
0.140,0.065,0.075,9,1000
0.317,0.136,0.181,66,357
0.229,0.152,0.076,8,626
0.282,0.154,0.128,40,360
0.200,0.118,0.082,20,998
0.292,0.172,0.121,6,236
0.290,0.135,0.155,57,417
0.282,0.119,0.164,83,497
0.292,0.118,0.173,72,472
0.288,0.136,0.152,57,423
0.203,0.101,0.102,23,974
0.235,0.117,0.118,8,707
0.196,0.101,0.096,45,1000
0.288,0.065,0.223,101,300
0.196,0.119,0.078,8,1000
0.177,0.100,0.077,8,1000
0.189,0.100,0.089,18,1000
0.187,0.082,0.106,36,1000
0.235,0.117,0.118,42,702
0.331,0.064,0.267,101,196
0.227,0.100,0.127,58,787
0.336,0.083,0.253,101,256
0.158,0.081,0.076,24,1000
0.190,0.100,0.091,27,1000
0.339,0.137,0.202,70,316
0.484,0.152,0.332,101,111
0.234,0.135,0.098,58,666
0.248,0.154,0.094,20,490
0.238,0.154,0.084,2,548
0.181,0.100,0.081,1,1000
0.133,0.064,0.069,28,1000
0.149,0.081,0.067,37,1000
