avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status,n_runs
0.174,0.107,0.067,12,1000
0.243,0.089,0.153,101,534
0.248,0.059,0.189,101,453
0.136,0.065,0.071,16,1000
0.160,0.083,0.077,9,1000
0.170,0.076,0.094,15,1000
0.247,0.058,0.188,101,348
0.143,0.070,0.072,12,1000
0.220,0.085,0.135,88,854
0.125,0.042,0.083,28,1000
0.219,0.101,0.118,97,838
0.162,0.076,0.085,21,1000
0.100,0.028,0.072,15,1000
0.179,0.046,0.133,52,1000
0.284,0.060,0.224,101,298
0.189,0.037,0.152,101,535
0.259,0.095,0.164,101,593
0.208,0.103,0.105,65,924
0.114,0.045,0.069,20,1000
0.183,0.098,0.085,12,1000
0.250,0.080,0.170,101,511
0.111,0.033,0.078,3,1000
0.358,0.085,0.273,101,250
0.251,0.058,0.193,101,670
0.193,0.076,0.118,43,1000
0.195,0.112,0.083,26,1000
0.176,0.076,0.101,25,1000
0.217,0.095,0.122,31,857
0.251,0.099,0.151,4,666
0.186,0.054,0.132,35,1000
0.232,0.112,0.120,22,734
0.179,0.068,0.111,16,1000
0.144,0.041,0.103,8,1000
0.164,0.082,0.082,43,1000
0.169,0.070,0.098,10,1000
0.228,0.103,0.125,64,776
0.277,0.137,0.140,18,451
0.188,0.104,0.085,3,1000
0.479,0.134,0.345,101,125
0.133,0.048,0.085,21,1000
0.139,0.047,0.092,33,1000
0.144,0.057,0.086,40,1000
0.305,0.116,0.189,55,447
0.194,0.082,0.112,4,1000
0.217,0.083,0.134,54,872
0.274,0.116,0.158,51,534
0.287,0.082,0.204,74,577
0.399,0.060,0.338,101,216
0.322,0.116,0.207,49,408
0.240,0.139,0.101,14,604
