T, time, time_on_pso, time_on_solver, status
2.966,0.105,0.075,0.030,0
2.812,0.102,0.075,0.027,0
2.672,0.098,0.075,0.023,0
2.177,0.102,0.075,0.027,0
2.757,0.169,0.075,0.094,-5
2.590,0.132,0.075,0.057,-5
2.167,0.105,0.074,0.031,0
2.482,0.106,0.075,0.031,0
2.644,0.110,0.075,0.035,0
2.860,0.124,0.075,0.049,-5
2.330,0.096,0.075,0.021,0
2.906,0.195,0.075,0.120,-5
2.542,0.262,0.076,0.186,-5
2.934,0.138,0.075,0.063,-5
2.928,0.105,0.075,0.030,0
2.732,0.104,0.075,0.029,0
2.296,0.105,0.075,0.030,0
2.554,0.107,0.075,0.032,0
2.162,0.100,0.075,0.025,0
2.825,0.107,0.075,0.032,0
2.797,0.133,0.075,0.058,-5
2.502,0.101,0.075,0.026,0
2.512,0.178,0.075,0.103,-5
2.838,0.099,0.075,0.024,0
2.663,0.106,0.075,0.031,0
1.546,0.117,0.086,0.031,0
1.996,0.101,0.075,0.026,0
2.265,0.101,0.075,0.026,0
2.565,0.105,0.075,0.030,0
2.187,0.107,0.075,0.032,0
2.315,0.238,0.075,0.163,-5
2.954,0.136,0.076,0.060,-5
2.514,0.101,0.075,0.026,0
2.516,0.097,0.075,0.022,0
2.699,0.226,0.075,0.151,-5
2.812,0.114,0.075,0.039,0
2.077,0.192,0.074,0.118,0
2.544,0.102,0.074,0.028,0
2.356,0.107,0.075,0.032,0
2.695,0.197,0.075,0.122,-5
2.056,0.100,0.075,0.025,0
2.775,0.122,0.102,0.020,0
1.298,0.108,0.076,0.032,0
2.766,0.186,0.075,0.111,0
1.939,0.103,0.075,0.028,0
2.292,0.096,0.075,0.021,0
2.437,0.103,0.075,0.028,0
2.775,0.100,0.075,0.025,0
2.492,0.100,0.075,0.025,0
2.601,0.134,0.075,0.059,-5
2.986,0.203,0.075,0.128,-5
2.748,0.103,0.076,0.027,0
2.635,0.210,0.074,0.136,-5
2.753,0.162,0.074,0.088,0
2.419,0.095,0.075,0.020,0
2.427,0.101,0.075,0.026,0
2.334,0.102,0.075,0.027,0
2.213,0.097,0.075,0.022,0
1.969,0.191,0.078,0.113,0
2.652,0.105,0.075,0.030,0
2.388,0.100,0.074,0.026,0
2.531,0.103,0.075,0.028,0
1.987,0.099,0.075,0.024,0
2.620,0.105,0.075,0.030,0
2.546,0.100,0.075,0.025,0
2.696,0.092,0.075,0.017,0
2.953,0.117,0.075,0.042,0
2.290,0.099,0.075,0.024,0
2.236,0.100,0.075,0.025,0
2.756,0.112,0.075,0.037,0
2.320,0.099,0.075,0.024,0
2.811,0.106,0.075,0.031,0
2.618,0.110,0.075,0.035,0
2.689,0.176,0.075,0.101,-5
2.476,0.105,0.074,0.031,0
2.792,0.103,0.075,0.028,0
2.630,0.101,0.075,0.026,0
2.291,0.103,0.075,0.028,0
2.532,0.103,0.075,0.028,0
2.737,0.103,0.075,0.028,0
1.968,0.218,0.075,0.143,0
2.679,0.105,0.075,0.030,0
2.775,0.226,0.075,0.151,-5
3.136,0.109,0.074,0.035,0
1.480,0.110,0.080,0.030,0
2.275,0.101,0.075,0.026,0
2.843,0.099,0.075,0.024,0
1.540,0.101,0.075,0.026,0
2.258,0.100,0.076,0.024,0
1.886,0.099,0.075,0.024,0
2.291,0.097,0.075,0.022,0
2.588,0.099,0.075,0.024,0
2.875,0.095,0.075,0.020,0
2.471,0.102,0.074,0.028,0
3.060,0.104,0.076,0.028,0
1.739,0.097,0.075,0.022,0
