T, time, status
3.026,0.162,0
2.430,0.139,0
2.337,0.176,-5
2.481,0.056,0
2.000,0.065,0
1.871,0.104,0
1.749,0.053,0
2.761,0.090,0
2.479,0.067,0
2.791,0.123,-5
2.223,0.046,0
2.179,0.101,-5
2.708,0.457,-5
2.353,0.054,0
2.710,0.054,0
2.521,0.049,0
2.888,0.088,0
2.326,0.077,0
2.933,0.085,-5
2.927,0.111,-5
2.652,0.099,-5
2.060,0.084,0
2.166,0.080,0
2.561,0.070,0
2.390,0.089,-5
2.831,0.203,0
2.598,0.129,0
2.370,0.271,-5
2.559,0.165,-5
2.964,0.081,0
2.701,0.140,0
2.059,0.059,0
2.810,0.129,-5
2.713,0.099,0
2.058,0.053,0
2.554,0.078,0
2.806,0.600,-5
2.842,0.056,0
2.792,0.071,0
2.843,0.104,0
2.220,0.099,-5
2.581,0.124,-5
2.439,0.127,0
2.547,0.078,0
2.151,0.045,0
2.963,0.081,0
2.846,0.074,0
2.566,0.057,0
2.862,0.073,0
2.342,0.105,0
1.972,0.049,0
2.763,0.132,-5
2.200,0.073,0
2.199,0.064,0
2.507,0.062,0
2.156,0.079,0
1.551,0.051,0
2.272,0.110,0
2.308,0.091,0
2.890,0.079,0
2.900,0.062,0
2.870,0.346,-5
2.950,0.067,0
2.934,0.590,-5
2.964,0.054,0
2.434,0.070,0
2.403,0.099,-5
2.573,0.100,0
2.911,0.189,-5
2.709,0.151,0
2.217,0.082,0
2.545,0.064,0
2.742,0.076,0
2.735,0.062,0
2.943,0.448,-5
2.111,0.088,-5
2.671,0.062,0
2.669,0.071,0
2.824,0.054,0
2.030,0.059,0
2.704,0.095,0
2.787,0.057,0
2.258,0.051,0
2.815,0.067,0
1.731,0.050,0
2.966,0.098,-5
2.326,0.139,0
2.414,0.054,0
2.262,0.090,0
2.946,0.070,0
2.242,0.064,0
2.652,0.184,0
2.321,0.096,-5
2.246,0.068,0
2.733,0.126,-5
2.865,0.082,-5
2.479,0.062,0
2.530,0.131,-5
2.476,0.088,-5
2.265,0.080,0
2.724,0.122,-5
1.841,0.095,0
2.114,0.061,0
2.692,0.091,0
2.539,0.052,0
2.902,0.205,0
2.449,0.071,0
2.414,0.211,0
2.431,0.079,0
1.977,0.153,-5
3.073,0.087,0
2.668,0.302,-5
1.829,0.069,0
2.953,0.120,-5
2.730,0.146,0
2.268,0.065,0
2.829,0.126,-5
2.450,0.096,0
2.388,0.052,0
1.837,0.217,0
2.456,0.099,-5
2.732,0.301,0
2.958,0.107,0
2.481,0.249,-5
2.693,0.151,-5
2.388,0.071,0
2.570,0.075,0
2.602,0.117,0
2.375,0.079,0
2.419,0.052,0
1.993,0.271,-5
2.519,0.099,0
2.510,0.099,-5
2.681,0.065,0
2.018,0.072,0
2.916,0.130,-5
2.584,0.253,-5
2.625,0.170,-5
2.556,0.055,0
2.455,0.072,0
2.331,0.097,0
2.637,0.110,0
