T, time, status
2.668,7.928,-4
2.454,2.317,1
3.194,1.356,0
3.338,1.285,1
4.410,25.074,-4
3.403,1.263,0
3.476,5.349,-4
2.888,1.033,1
2.942,21.536,-3
2.996,1.700,1
2.767,1.255,1
4.055,5.495,-4
2.668,1.398,0
4.119,16.204,-2
3.343,1.482,1
3.035,3.208,-4
3.271,1.137,1
3.388,5.491,-4
3.905,4.290,1
3.697,2.419,1
3.692,2.650,1
3.415,1.142,0
4.491,8.205,0
3.315,4.816,-4
3.834,6.076,-4
2.800,7.454,-4
3.124,7.604,-2
3.582,6.337,-4
3.498,1.298,1
3.921,11.048,-2
3.598,10.922,-2
3.319,2.547,1
3.767,2.727,1
4.279,5.751,0
3.867,5.576,1
3.150,4.166,-4
3.070,1.142,1
3.144,5.546,-4
3.186,1.576,0
3.260,1.525,0
3.390,2.713,0
4.149,8.054,-2
4.053,3.404,1
4.096,3.292,1
2.927,2.025,1
3.545,6.791,-4
3.519,1.666,0
3.755,1.820,0
3.078,1.243,0
4.281,2.339,0
4.059,5.179,1
3.842,1.762,1
3.446,1.416,1
3.342,4.815,1
2.810,10.862,-4
3.838,3.879,1
3.319,1.279,0
3.338,2.485,1
3.259,2.519,0
3.135,1.184,1
2.122,19.428,-3
3.295,28.455,-3
3.302,7.760,-4
3.338,1.976,1
4.247,15.834,-2
3.662,1.368,1
4.454,13.245,-2
3.308,20.497,-3
3.981,10.251,-2
2.838,2.943,1
3.406,4.181,-4
3.640,1.991,1
3.307,1.900,1
3.939,5.103,1
3.146,18.868,1
3.863,3.227,0
4.058,3.706,1
4.078,7.717,-2
3.355,1.700,0
3.226,2.861,1
2.891,3.800,1
2.887,1.217,1
3.971,6.780,1
2.943,3.380,-4
3.725,4.455,1
3.851,2.279,1
3.221,2.143,1
3.296,8.336,-4
2.316,1.307,0
4.517,25.314,-3
3.449,5.672,-2
3.432,3.069,1
3.044,1.672,1
4.344,20.227,-3
3.459,1.498,0
3.089,1.484,0
3.107,1.452,0
3.332,5.917,1
4.049,7.016,-2
