T, time, status
2.708,0.581,0
2.508,0.480,0
2.493,0.599,1
2.563,0.542,0
2.226,0.784,1
1.993,0.648,0
2.362,0.626,1
2.780,0.870,0
1.468,0.899,1
1.471,0.954,1
2.215,0.768,1
2.315,2.721,-2
2.669,2.470,-4
2.749,0.801,0
2.196,0.770,1
1.823,0.918,1
2.037,1.912,0
2.454,4.803,-2
2.863,0.725,1
2.835,4.808,-2
2.710,0.477,0
2.524,0.809,0
2.820,1.078,1
2.381,0.764,1
2.456,0.612,0
1.274,0.740,0
2.749,8.796,0
2.698,9.468,0
2.582,3.200,-4
2.783,3.630,-2
2.805,3.667,-2
2.188,0.906,1
2.681,0.677,0
2.552,1.072,1
1.414,1.023,1
1.855,0.448,0
2.624,6.003,-2
2.810,1.804,-2
2.360,0.571,0
2.478,0.727,1
2.430,0.728,1
2.722,3.155,-2
2.439,0.690,0
2.843,8.518,-2
2.449,5.353,-4
2.455,0.839,1
1.515,1.027,1
2.311,0.782,0
2.405,0.739,1
2.352,4.092,-2
2.267,1.301,1
2.087,1.542,1
2.950,6.176,-2
2.313,2.616,-4
2.054,0.847,1
2.840,1.236,1
1.311,0.851,1
1.745,0.973,1
2.845,0.876,1
2.351,1.020,1
2.961,14.958,-3
2.877,1.449,1
2.403,0.736,1
2.288,0.893,1
2.087,0.736,1
3.018,4.137,-2
2.220,2.355,-4
2.365,0.806,0
2.201,0.720,1
2.809,2.100,-4
2.629,0.774,1
2.511,10.400,-2
2.813,0.678,1
2.845,1.041,0
2.858,0.761,1
1.892,2.191,-4
1.934,1.829,-4
2.475,0.853,1
2.877,0.591,0
2.918,1.341,1
2.073,0.807,1
2.627,0.562,0
2.289,0.880,0
3.156,1.122,1
2.775,2.121,1
2.404,0.730,0
2.694,1.180,1
2.304,0.774,0
2.533,0.834,1
2.542,0.751,0
2.146,0.669,1
1.880,2.312,-4
2.928,4.200,-2
2.351,0.958,1
3.125,0.615,0
2.475,0.666,0
2.913,0.692,0
2.918,3.104,-2
2.763,0.843,1
2.682,0.599,1
2.933,1.343,1
2.064,0.805,0
2.877,0.791,1
2.650,1.248,1
2.938,6.004,1
2.496,2.652,-2
2.672,0.725,1
2.166,2.152,-4
2.556,7.336,-2
2.629,3.955,-2
1.825,0.969,1
2.731,0.624,1
2.768,7.834,-2
2.546,0.829,1
3.132,2.710,-2
2.052,1.055,1
2.405,10.483,-4
2.796,0.784,1
2.928,1.083,1
2.925,4.548,-2
2.598,0.976,1
2.568,0.871,1
2.928,0.996,1
2.691,5.486,-2
2.273,1.327,1
2.369,2.970,-2
2.436,0.681,1
2.735,1.130,1
2.442,0.711,1
2.265,0.620,0
2.562,0.638,0
2.301,0.662,1
2.859,1.247,0
2.277,0.690,1
2.837,0.712,0
2.731,5.718,1
2.375,0.876,1
2.468,0.765,1
2.899,4.599,-2
2.531,3.217,-4
2.897,10.815,-3
2.974,6.560,-2
2.709,0.557,0
2.451,0.630,1
3.099,3.682,-2
2.197,0.923,1
2.434,3.831,-4
2.776,0.788,1
2.542,4.252,-4
2.436,0.949,1
2.884,8.348,-2
2.643,3.415,0
2.692,0.756,1
2.744,1.716,1
2.252,0.577,0
2.682,0.549,1
2.171,0.812,1
2.722,0.969,1
2.595,0.846,1
2.141,0.812,1
3.080,0.810,1
2.377,0.720,1
2.821,3.372,1
2.555,0.796,1
2.603,0.911,1
2.183,1.240,1
2.838,1.229,1
2.609,0.842,1
2.429,0.877,1
2.325,3.728,1
2.564,0.806,0
2.300,3.283,-4
2.345,0.647,1
2.167,0.761,1
2.163,1.364,1
2.809,5.186,1
3.012,6.237,-2
2.147,4.310,1
2.394,4.998,-2
2.168,0.669,1
2.426,0.753,0
1.580,1.702,1
2.307,0.901,1
2.308,0.987,1
2.748,4.505,-2
2.893,2.372,1
2.566,5.175,-2
2.380,0.630,1
2.193,0.715,1
2.910,1.009,1
2.107,4.927,-4
2.200,0.733,1
2.206,2.240,-2
2.909,0.906,1
2.698,1.251,1
2.743,0.813,0
2.851,6.585,-2
2.146,0.752,0
2.960,0.668,1
2.370,2.874,-2
1.973,1.022,1
2.945,0.610,0
2.837,0.669,1
2.833,0.778,1
2.815,0.508,0
2.832,5.189,-2
2.758,0.642,0
2.828,0.890,1
2.350,0.773,1
2.909,0.785,1
2.513,0.812,1
2.302,0.617,0
2.639,5.112,0
2.789,0.726,1
1.314,1.387,1
2.490,0.936,1
2.867,0.705,0
2.647,3.099,-2
2.759,7.139,-2
2.784,0.574,0
2.064,0.641,1
2.784,3.860,-4
2.493,0.806,1
2.979,6.606,-2
2.190,0.927,0
2.254,0.937,0
2.347,0.840,1
2.685,0.696,0
1.843,0.524,1
2.140,0.655,1
3.001,18.383,-3
2.613,0.702,1
2.254,0.820,1
2.747,0.693,1
1.481,1.270,0
2.592,6.280,-2
2.436,1.043,0
2.187,0.827,1
2.339,0.769,1
2.979,5.185,-2
2.591,3.509,1
1.904,0.719,0
2.760,0.969,1
2.863,3.472,-2
2.295,1.086,1
2.803,0.754,0
1.342,1.663,-4
2.750,6.612,-2
1.729,0.824,0
2.845,3.081,1
2.991,2.745,-4
2.809,0.662,0
2.640,0.583,0
2.210,1.229,1
2.244,4.981,-4
2.356,4.537,-2
2.038,1.076,1
2.241,0.788,1
2.762,12.482,-3
2.799,0.630,1
2.438,0.667,0
2.878,2.193,-2
2.933,2.924,-2
2.481,1.291,1
2.491,5.175,-4
1.182,0.784,0
2.568,0.849,0
2.740,2.932,-2
2.956,6.440,-2
2.401,1.008,0
1.877,0.561,1
1.221,1.167,1
1.857,0.588,1
2.610,0.721,1
2.409,1.925,-4
2.605,2.044,1
1.933,0.470,1
1.797,1.166,1
2.694,0.668,1
2.610,0.626,1
1.956,0.894,0
2.526,0.859,1
2.306,0.636,1
2.457,12.200,1
2.257,0.638,1
3.032,1.142,1
2.579,1.211,0
2.348,0.576,0
2.674,2.969,0
1.880,1.780,1
2.186,5.044,-4
2.608,1.999,1
3.112,1.404,0
1.900,1.146,0
2.846,0.705,0
2.799,3.112,-2
2.493,0.638,1
2.468,0.823,1
2.329,0.574,0
2.744,0.576,1
2.901,0.908,1
2.210,0.635,0
2.502,0.772,1
2.501,12.909,-3
1.665,1.385,1
2.144,1.830,-4
2.778,8.214,1
2.838,1.562,-2
2.411,0.882,1
1.104,1.198,1
2.273,0.807,1
2.451,1.190,1
2.146,1.705,-4
2.795,0.819,1
2.900,4.029,1
1.908,0.953,1
2.614,0.733,1
2.445,1.659,1
2.520,0.487,0
2.500,1.721,-4
2.875,1.325,1
1.403,1.401,1
2.637,1.042,0
2.442,0.725,0
2.772,0.608,1
1.638,0.847,1
2.701,0.820,0
2.921,1.688,1
1.641,0.928,1
2.521,0.590,1
2.574,0.817,1
2.815,4.722,-4
2.497,9.473,-2
2.030,0.885,1
2.788,0.831,0
2.841,4.606,-2
2.346,1.030,0
2.827,9.473,-2
2.273,0.719,0
2.799,0.855,1
2.669,0.539,1
2.358,0.927,1
2.919,0.775,1
2.125,1.017,1
2.336,1.367,1
2.136,0.977,1
2.638,0.684,0
2.710,3.283,-2
1.926,1.103,1
2.415,0.956,1
2.862,1.134,1
2.345,2.821,-4
2.264,1.801,-4
3.169,1.401,1
2.721,1.978,-2
2.349,0.678,1
1.977,6.588,-4
2.680,2.999,-2
2.904,1.234,1
1.907,0.894,1
2.860,2.391,1
2.254,0.782,1
2.524,0.783,0
2.788,3.925,-2
2.046,2.020,-4
2.376,6.769,-2
2.401,0.776,1
1.010,1.240,1
3.080,3.852,-2
2.656,0.833,1
2.605,2.653,-2
3.015,3.482,-2
1.278,2.041,-4
2.288,2.535,-4
1.592,1.094,1
2.647,0.792,0
2.722,6.391,-4
2.553,0.755,0
2.574,0.668,1
2.691,4.547,-2
2.132,2.283,1
2.600,1.013,1
2.693,0.640,1
2.337,0.596,1
2.957,3.371,0
2.267,4.314,1
2.388,0.963,1
1.870,0.873,1
2.846,1.189,0
1.812,1.100,0
2.707,8.822,0
2.536,0.678,1
2.792,0.824,1
2.889,0.767,0
2.888,1.313,1
2.876,0.864,1
2.216,0.759,1
2.393,0.890,1
2.722,3.969,1
2.947,1.144,1
2.210,0.709,1
2.954,0.923,1
2.797,2.930,-4
1.535,1.449,1
2.916,0.929,1
2.966,0.904,1
2.357,0.862,1
2.678,6.038,-2
2.600,3.031,-4
2.108,4.236,1
2.226,3.498,-4
2.697,0.851,0
1.763,3.344,-4
1.442,1.414,-4
2.397,1.178,0
2.916,0.973,1
2.710,7.877,-4
2.293,0.759,0
2.578,0.600,0
1.829,0.699,0
2.020,0.760,1
2.848,4.610,-2
2.226,1.643,1
2.702,0.781,1
2.670,2.221,0
2.946,1.109,1
2.203,0.799,0
2.623,0.765,1
2.072,8.284,-4
2.772,1.111,1
2.712,2.441,1
2.253,5.975,1
2.181,3.326,-4
2.896,0.929,0
2.718,6.869,-2
2.790,2.800,1
2.252,3.330,-4
2.594,0.950,1
2.777,0.984,0
2.237,0.682,1
1.758,0.863,1
2.850,0.790,0
2.782,3.262,-4
2.866,0.663,0
2.261,1.936,-2
2.194,0.836,1
2.638,4.356,-4
2.799,0.795,1
2.145,1.908,-4
2.434,0.730,1
2.960,0.803,1
1.639,1.478,1
2.510,3.653,-4
2.725,0.862,1
2.911,7.907,-2
3.075,1.100,1
1.723,0.707,1
1.906,1.156,1
2.303,0.696,1
2.241,1.600,-4
2.433,0.752,1
2.772,0.634,1
2.522,1.776,-2
2.934,7.422,-2
2.308,1.148,1
2.300,4.153,-4
2.934,1.040,1
2.280,2.449,-4
2.959,2.578,-2
2.861,6.932,-2
2.661,4.284,-2
2.392,0.780,1
2.637,1.665,1
2.379,3.941,-4
2.746,9.550,-2
2.229,1.963,-2
2.027,1.977,1
2.203,0.641,1
2.284,0.614,0
2.386,0.773,1
2.407,7.140,-2
2.621,0.747,0
2.690,1.730,1
2.507,1.111,1
1.953,0.876,1
2.677,0.737,1
2.288,0.840,1
2.673,0.829,1
2.417,1.111,1
2.910,0.788,1
2.148,1.612,1
2.656,1.264,0
2.840,6.581,-4
2.705,0.678,1
2.417,0.761,0
2.708,0.632,1
2.389,0.717,1
2.903,8.474,-4
2.347,0.693,1
2.459,0.670,0
2.900,3.238,-2
1.890,0.712,1
2.429,0.738,1
2.838,0.735,1
2.837,4.954,1
2.581,0.826,1
1.380,1.114,1
2.727,0.492,0
2.807,3.539,-2
2.325,4.068,-2
1.949,2.989,-4
1.992,1.139,1
2.788,0.991,1
1.858,1.149,1
2.369,1.252,0
2.757,0.964,1
2.434,1.122,1
2.900,0.817,0
2.109,5.009,-2
2.771,2.949,-2
2.704,0.864,1
2.672,0.581,0
2.587,1.019,1
2.789,0.814,1
1.861,4.595,-4
2.225,3.925,-4
3.035,1.331,1
2.228,4.786,-2
2.379,0.652,1
2.642,3.858,0
2.852,4.427,-2
2.960,9.650,-2
2.321,0.840,0
2.810,4.268,-2
2.804,1.840,1
2.864,0.809,1
2.702,7.663,-4
2.669,1.163,0
2.499,0.774,0
2.167,0.700,1
2.735,0.623,0
1.834,1.024,1
1.568,1.073,0
2.223,0.621,0
2.960,2.980,-4
2.452,4.247,-2
2.734,0.924,0
2.674,0.787,1
2.494,0.790,1
2.935,0.715,1
2.581,1.067,1
1.169,1.191,0
2.236,0.873,1
2.951,1.047,1
2.220,1.589,-4
2.780,8.566,-2
2.024,0.735,1
2.649,0.731,1
2.383,0.719,0
1.911,4.284,0
2.764,0.769,1
2.744,0.813,1
2.263,0.666,0
2.220,0.541,0
2.744,2.018,1
2.655,2.305,-2
2.195,0.739,1
2.630,4.966,-2
2.274,3.850,-2
2.690,0.769,1
2.462,0.732,0
2.256,0.859,0
2.498,0.669,0
2.149,0.945,1
2.202,1.799,-4
2.932,7.038,-2
2.658,0.731,1
2.793,6.740,-2
2.813,1.166,0
2.204,4.770,-2
2.814,1.340,0
2.236,6.444,-4
2.151,1.111,1
1.866,1.189,1
2.836,2.642,0
2.775,2.144,0
2.503,3.795,-4
1.736,1.249,1
2.386,0.636,0
2.033,1.318,1
