T, time, status
2.065,0.119,-5
2.659,0.067,0
2.344,0.178,0
2.779,0.170,0
2.571,0.101,0
2.833,0.093,0
2.890,0.126,0
2.932,0.261,0
2.794,0.148,0
2.851,0.468,-5
2.089,0.079,0
2.207,0.108,0
2.256,0.087,0
2.594,0.149,-5
2.414,0.120,0
2.224,0.225,0
1.959,0.120,0
2.257,0.303,0
2.565,0.090,0
2.776,0.056,0
2.536,0.089,0
1.998,0.128,-5
2.942,0.136,0
2.882,0.143,0
2.723,0.106,0
2.699,0.124,0
2.717,0.144,0
2.147,0.152,0
2.184,0.130,0
2.128,0.054,0
2.675,0.320,-5
2.484,0.189,-5
2.105,0.110,-5
2.534,0.117,0
2.673,0.089,0
2.241,0.076,0
2.297,0.090,0
2.793,0.434,-5
2.971,0.101,0
2.209,0.083,0
1.840,0.066,0
2.635,0.096,0
2.801,0.202,0
2.163,0.114,0
1.489,0.093,0
2.665,0.137,0
1.929,0.101,-5
1.764,0.104,0
2.238,0.089,0
2.528,0.087,0
3.020,0.160,0
2.492,0.156,0
2.641,0.148,0
2.711,0.109,0
1.950,0.134,-5
2.983,0.284,0
1.904,0.095,0
2.406,0.084,0
2.787,0.545,-5
2.101,0.091,0
2.883,0.188,-5
2.406,0.139,0
2.917,0.192,-5
1.955,0.099,0
2.443,0.183,0
2.773,0.293,-5
2.283,0.057,0
2.397,0.119,0
1.688,0.108,0
2.829,0.206,0
2.631,0.103,0
2.185,0.085,0
2.905,0.122,0
1.831,0.080,0
2.855,0.095,0
2.304,0.084,0
2.353,0.154,-5
1.991,0.103,0
1.947,0.159,-5
2.665,0.116,0
2.886,0.700,-5
2.524,0.127,0
1.932,0.112,0
2.480,0.242,-5
2.280,0.080,0
2.352,0.175,-5
2.970,0.172,0
2.100,0.075,0
1.859,0.089,0
2.590,0.134,-5
2.727,0.078,0
2.152,0.070,0
2.644,0.230,-5
2.625,0.083,0
2.834,0.084,0
2.026,0.080,0
2.260,0.096,0
2.578,0.261,-5
2.828,0.214,-5
2.952,0.134,0
2.583,0.102,0
1.824,0.079,0
2.484,0.371,-5
1.905,0.075,0
2.510,0.127,0
2.634,0.131,0
1.684,0.077,0
1.944,0.077,0
1.721,0.085,0
2.642,0.150,-5
2.660,0.098,0
2.903,0.140,-5
2.388,0.077,0
2.388,0.075,0
1.890,0.093,0
2.968,0.086,0
2.898,0.125,0
2.893,0.142,0
1.846,0.102,0
2.889,0.146,0
2.205,0.174,0
1.687,0.093,0
1.864,0.101,0
2.821,0.260,-5
1.975,0.196,0
2.399,0.084,0
2.651,0.570,-5
2.389,0.080,0
2.686,0.147,-5
2.543,0.097,0
2.377,0.072,0
2.242,0.190,-5
2.285,0.086,0
2.940,0.077,0
2.692,0.093,0
2.764,0.094,0
2.791,0.092,0
2.235,0.154,-5
3.029,0.070,0
2.614,0.407,0
2.943,0.180,0
2.623,0.106,0
2.376,0.116,0
2.388,0.057,0
2.291,0.090,0
2.470,0.095,0
1.968,0.087,0
2.537,0.025,0
2.707,0.082,0
2.762,0.310,0
2.517,0.207,-5
2.359,0.094,0
2.759,0.128,0
2.335,0.192,0
2.325,0.096,0
2.122,0.074,0
3.060,0.128,0
2.573,0.274,-5
2.624,0.164,0
2.827,0.154,0
2.288,0.103,0
2.293,0.095,0
2.947,0.179,0
2.956,0.937,-5
2.735,0.259,0
2.749,0.258,0
2.273,0.118,0
2.487,0.176,-5
2.759,0.154,0
2.693,0.172,0
2.714,0.124,0
2.356,0.131,-5
2.300,0.137,0
2.018,0.130,0
2.717,0.182,-5
2.336,0.131,0
2.150,0.115,0
2.857,0.088,0
1.504,0.100,0
2.607,0.153,-5
2.446,0.256,0
2.044,0.080,0
2.190,0.096,0
2.370,0.095,0
2.679,0.120,0
2.113,0.096,0
2.188,0.270,-5
2.647,0.256,-5
2.438,0.112,0
2.532,0.154,-5
2.044,0.070,0
2.232,0.079,0
2.573,0.176,0
2.615,0.054,0
2.286,0.117,0
2.807,0.412,0
2.715,0.129,0
2.484,0.089,0
2.423,0.147,0
2.955,0.066,0
2.866,0.437,-5
2.468,0.148,0
2.164,0.111,0
2.480,0.116,0
2.944,0.112,0
2.417,0.091,0
2.376,0.137,0
2.059,0.167,-5
2.661,0.188,-5
2.616,0.117,0
2.902,0.089,0
1.972,0.108,0
2.291,0.182,-5
2.319,0.099,0
2.919,0.341,0
2.120,0.119,0
1.932,0.080,0
2.352,0.090,0
2.744,0.115,0
2.657,0.137,0
2.488,0.103,0
2.365,0.078,0
1.855,0.132,-5
2.683,0.112,0
2.778,0.071,0
2.560,0.136,-5
2.551,0.083,0
2.562,0.108,-5
2.625,0.083,0
2.044,0.116,0
