T, time, status
2.493,0.107,0
2.563,0.081,0
2.226,0.075,0
1.993,0.051,0
2.362,0.076,0
2.780,0.083,0
1.468,0.070,0
1.471,0.066,0
2.215,0.073,0
2.302,0.058,0
2.655,0.103,0
2.749,0.076,0
2.196,0.083,0
1.823,0.074,0
2.036,0.074,0
2.440,0.115,-5
2.863,0.088,0
2.818,0.137,0
2.710,0.092,0
2.524,0.082,0
2.820,0.127,-5
2.382,0.072,0
2.456,0.076,0
1.274,0.079,0
2.749,0.192,0
2.698,0.075,0
2.563,0.072,0
2.766,0.081,0
2.787,0.166,-5
2.188,0.069,0
2.681,0.069,0
2.552,0.089,0
1.414,0.070,0
1.855,0.078,0
2.592,0.125,-5
2.792,0.125,-5
2.360,0.094,0
2.478,0.074,0
2.431,0.094,0
2.710,0.436,-5
2.439,0.060,0
2.830,0.084,0
2.428,0.179,0
2.455,0.077,0
1.515,0.101,0
2.311,0.092,0
2.414,0.121,0
2.339,0.090,0
2.268,0.070,0
2.087,0.069,0
2.930,0.085,0
2.300,0.130,0
2.054,0.147,0
2.840,0.142,-5
1.311,0.070,0
1.745,0.092,0
2.845,0.157,0
2.351,0.099,0
2.961,0.700,-5
2.877,0.111,0
2.403,0.094,0
2.288,0.084,0
2.087,0.083,0
2.997,0.183,0
2.208,0.096,0
2.365,0.106,0
2.201,0.080,0
2.792,0.138,0
2.629,0.076,0
2.499,0.105,0
2.813,0.148,-5
2.845,0.072,0
2.858,0.087,0
1.882,0.069,0
1.923,0.079,0
0.000,0.042,-5
2.877,0.099,0
2.918,0.101,0
2.073,0.095,0
2.627,0.156,0
2.289,0.106,0
3.157,0.323,-5
2.775,0.141,0
2.404,0.035,0
2.694,0.095,-5
2.304,0.049,0
2.533,0.076,0
2.542,0.047,0
2.146,0.077,0
1.868,0.050,0
2.908,0.624,-5
2.352,0.047,0
3.126,0.080,0
2.475,0.054,0
2.913,0.044,0
2.901,0.140,-5
2.763,0.102,-5
2.682,0.122,0
2.933,0.225,-5
2.064,0.094,0
2.877,0.109,0
2.650,0.109,0
2.938,0.726,-5
2.481,0.272,-5
2.672,0.116,0
2.152,0.094,0
2.541,0.764,-5
2.616,0.154,0
1.825,0.202,0
2.731,0.068,0
2.753,0.323,-5
2.546,0.291,-5
3.116,0.489,-5
2.052,0.043,0
2.391,0.128,0
2.796,0.109,0
2.928,0.089,0
2.903,0.132,-5
2.598,0.090,0
2.568,0.144,0
2.928,0.123,0
2.668,0.141,-5
2.272,0.077,0
2.356,0.239,0
2.436,0.092,0
2.735,0.089,0
2.442,0.101,0
2.265,0.064,0
2.563,0.110,0
2.301,0.072,0
2.860,0.193,0
2.278,0.078,0
2.837,0.101,0
2.731,0.128,-5
2.376,0.129,-5
2.468,0.042,0
2.884,0.286,-5
2.503,0.079,0
2.897,0.150,0
2.958,0.201,0
2.709,0.076,0
