T, time, status
2.508,1.124,0
2.493,1.169,1
2.563,1.175,0
2.226,1.096,1
1.993,1.377,0
2.362,1.021,1
2.780,1.613,1
1.468,1.818,1
1.471,1.572,1
2.215,1.186,1
2.302,1.055,1
2.654,1.220,1
2.749,1.294,0
2.209,3.478,-2
1.823,1.570,1
2.036,0.845,0
2.452,4.906,-2
2.863,1.147,1
2.834,8.462,-2
2.710,0.991,0
2.524,1.428,0
2.820,1.617,1
2.381,1.463,1
2.456,1.765,0
1.274,1.299,0
2.764,13.310,-2
2.698,1.014,0
2.562,0.958,0
2.766,2.074,1
2.802,6.489,-2
2.188,1.532,1
2.681,1.477,0
2.552,1.586,1
1.414,1.477,1
1.855,0.892,0
2.623,9.948,-2
2.792,1.060,1
2.360,1.388,0
2.478,1.425,1
2.430,1.003,1
2.724,9.108,-2
2.439,0.988,0
2.845,8.263,-2
2.445,5.924,-4
2.455,1.129,1
1.515,1.589,1
2.311,0.812,0
2.405,1.080,1
2.352,4.853,-4
2.267,1.601,1
2.087,1.730,1
2.930,1.490,1
2.312,3.658,-2
2.054,1.142,1
2.840,1.197,1
1.311,2.634,1
1.745,1.694,1
2.861,6.821,-4
2.351,1.162,1
2.961,15.205,0
2.877,1.232,1
2.403,1.375,1
2.288,1.124,1
2.087,1.016,1
2.997,1.018,1
2.208,1.457,1
2.365,1.227,0
2.213,2.102,-2
2.808,5.785,-2
2.643,12.080,-2
2.512,12.478,-2
2.813,1.356,1
2.845,2.239,0
2.858,1.225,1
1.891,2.884,-4
1.933,3.396,-4
2.475,1.166,1
2.877,1.008,0
2.934,8.280,-2
2.073,1.012,1
2.627,1.000,0
2.289,0.988,0
3.176,1.667,1
2.775,1.666,1
2.404,1.153,0
2.694,1.584,1
2.304,1.528,1
2.533,1.174,1
2.542,1.083,0
2.146,2.392,1
1.879,2.380,-4
2.908,2.857,1
2.351,1.798,1
3.125,1.853,0
2.475,0.990,0
2.913,0.943,0
2.901,1.326,1
2.763,2.013,1
2.682,0.828,1
2.933,1.261,1
2.063,1.024,0
2.877,1.012,1
2.665,2.479,-2
2.938,8.210,0
2.481,1.539,1
2.672,1.435,1
2.152,1.250,1
2.554,7.280,-2
2.616,1.325,1
1.825,0.829,1
2.731,0.905,1
2.776,8.973,-2
2.562,3.812,-2
3.137,7.201,-2
2.062,5.114,-4
2.404,2.789,-4
2.796,0.979,1
2.928,1.731,1
2.903,1.540,1
2.598,1.070,1
2.568,1.171,1
2.946,5.907,-4
2.703,6.037,-2
2.272,1.224,1
2.368,6.085,-2
2.436,1.259,1
2.752,4.340,-2
2.442,1.205,1
2.265,0.946,0
2.562,1.184,0
2.301,1.590,1
2.859,1.160,0
2.288,2.497,-4
2.837,0.902,0
2.731,4.248,1
2.375,1.550,1
2.468,1.193,1
2.905,11.648,-2
2.524,7.229,-2
2.897,8.039,1
2.975,6.984,-2
2.709,1.018,0
2.451,1.168,1
3.099,7.056,-2
2.197,1.335,1
2.433,7.141,-4
2.776,1.522,1
2.528,1.910,1
2.436,2.239,1
2.892,6.935,-2
2.643,1.283,0
2.692,1.101,1
2.744,1.443,0
2.252,1.040,1
2.682,1.083,1
2.171,1.099,0
2.738,5.287,-2
2.595,1.102,1
2.141,1.291,1
3.080,1.736,1
2.377,1.518,1
2.821,6.092,1
2.569,4.452,-4
2.603,1.213,1
2.183,1.853,1
2.838,1.325,1
2.609,1.331,1
2.443,6.031,-2
2.325,3.732,1
2.564,1.232,0
2.298,2.284,-4
2.345,1.067,1
2.167,1.383,1
2.163,1.671,1
2.809,8.519,1
3.012,5.279,-2
2.147,1.157,1
2.394,4.648,-2
2.168,1.212,1
2.426,1.444,0
1.580,2.599,0
2.307,1.982,1
2.308,1.516,1
2.746,5.397,-2
2.910,2.779,-2
2.565,3.578,-2
2.380,1.372,1
2.205,4.211,-2
2.910,2.209,1
2.107,7.619,-2
2.200,1.799,1
2.207,7.548,-4
2.909,1.098,1
2.713,4.639,-2
2.743,1.969,0
2.854,12.937,-2
2.146,1.098,0
2.960,1.272,1
2.370,3.672,-4
1.973,1.480,1
2.945,0.888,0
2.837,1.623,1
2.833,1.327,1
2.815,0.824,0
2.837,7.425,-2
2.758,1.052,0
2.848,7.982,-2
2.350,1.275,1
2.915,1.439,1
2.513,1.105,1
2.302,0.936,0
2.639,3.088,1
2.789,1.180,1
1.314,1.979,1
2.490,1.199,1
2.867,1.141,0
2.634,1.210,1
2.744,1.403,1
2.784,0.751,0
2.064,1.294,1
2.768,1.875,1
2.493,1.059,1
2.973,5.986,-2
2.190,1.631,0
2.254,2.185,0
2.347,1.298,1
2.685,1.339,0
1.851,1.780,-4
2.140,1.804,1
3.001,2.454,1
2.613,1.155,1
2.254,1.403,1
2.764,5.521,-2
1.481,1.554,0
2.582,4.946,-2
2.451,1.814,0
2.187,1.582,1
2.339,1.541,1
2.978,7.206,-2
2.591,6.451,1
1.904,0.838,0
2.760,1.450,1
2.843,1.664,1
2.295,1.476,1
2.803,0.857,0
1.342,3.137,-4
2.745,10.962,-2
1.729,1.477,0
2.862,7.182,-2
2.971,1.919,1
2.809,1.819,1
2.640,1.228,0
2.210,1.807,1
2.232,4.830,-4
2.358,6.969,-2
2.038,2.170,1
2.241,1.169,1
2.762,2.733,0
2.799,1.404,1
