avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.145,0.020,0.125,29
0.514,0.085,0.429,100
0.472,0.037,0.435,100
0.235,0.140,0.095,29
0.261,0.145,0.116,23
0.164,0.064,0.101,24
0.270,0.114,0.157,33
0.445,0.045,0.400,100
0.193,0.084,0.108,24
0.170,0.075,0.095,25
0.270,0.147,0.123,27
0.313,0.141,0.171,44
0.254,0.138,0.116,25
0.224,0.085,0.139,36
0.257,0.158,0.099,30
0.238,0.119,0.118,36
0.313,0.088,0.225,64
0.219,0.084,0.135,26
0.537,0.108,0.429,100
0.189,0.088,0.101,29
0.201,0.102,0.099,27
0.177,0.067,0.110,33
0.208,0.115,0.093,21
0.227,0.070,0.158,46
0.201,0.100,0.100,28
0.188,0.093,0.095,24
0.194,0.114,0.080,18
0.255,0.130,0.125,34
0.190,0.091,0.099,27
0.159,0.067,0.091,22
0.465,0.055,0.411,96
0.154,0.073,0.081,26
0.250,0.147,0.102,25
0.125,0.022,0.103,26
0.145,0.067,0.079,28
0.204,0.077,0.126,28
0.195,0.103,0.093,25
0.183,0.073,0.110,29
0.482,0.047,0.435,100
0.229,0.115,0.113,32
0.144,0.050,0.094,21
0.212,0.110,0.102,31
0.502,0.078,0.424,100
0.251,0.057,0.194,51
0.243,0.128,0.115,29
0.204,0.030,0.174,47
0.449,0.036,0.413,95
0.237,0.133,0.105,27
0.220,0.124,0.096,27
0.212,0.109,0.104,26
0.237,0.115,0.121,25
0.181,0.090,0.091,33
0.445,0.042,0.403,93
0.258,0.036,0.222,54
0.204,0.098,0.106,29
0.212,0.098,0.114,31
0.191,0.090,0.101,24
0.459,0.082,0.377,100
0.232,0.123,0.109,30
0.161,0.057,0.104,24
0.240,0.120,0.120,34
0.201,0.050,0.151,41
0.158,0.046,0.112,25
0.228,0.121,0.107,28
0.509,0.070,0.439,100
0.114,0.036,0.078,29
0.461,0.059,0.402,100
0.157,0.050,0.107,31
0.196,0.113,0.083,26
0.219,0.100,0.119,32
0.208,0.084,0.124,27
0.244,0.147,0.097,23
0.216,0.100,0.115,27
0.272,0.129,0.143,41
0.117,0.043,0.074,25
0.228,0.140,0.088,28
0.220,0.110,0.110,32
0.237,0.091,0.146,38
0.197,0.105,0.091,26
0.221,0.108,0.113,26
0.148,0.075,0.073,25
0.153,0.043,0.110,34
0.448,0.070,0.378,98
0.487,0.101,0.387,100
0.237,0.142,0.094,24
0.237,0.117,0.120,33
0.437,0.035,0.401,100
0.222,0.104,0.118,30
0.239,0.119,0.120,30
0.467,0.057,0.410,97
0.166,0.055,0.110,29
0.173,0.101,0.072,22
0.469,0.077,0.392,100
0.290,0.164,0.126,31
0.170,0.065,0.105,29
0.251,0.099,0.151,42
0.216,0.090,0.126,34
0.165,0.073,0.092,22
0.160,0.036,0.124,38
0.237,0.138,0.099,28
