avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.480,0.361,0.118,21
1.431,1.286,0.145,29
1.034,0.874,0.160,22
0.727,0.612,0.116,18
1.013,0.902,0.111,27
0.415,0.324,0.091,25
0.200,0.047,0.153,28
0.275,0.147,0.129,26
0.531,0.444,0.087,21
0.611,0.493,0.118,14
0.280,0.181,0.099,20
0.264,0.179,0.085,19
0.450,0.041,0.409,84
1.323,1.203,0.121,21
0.916,0.783,0.132,31
1.063,0.941,0.122,24
0.383,0.223,0.160,28
0.733,0.360,0.373,83
0.705,0.488,0.218,39
0.596,0.474,0.122,23
0.471,0.346,0.125,28
0.240,0.113,0.127,20
0.400,0.297,0.103,23
0.368,0.295,0.074,15
0.284,0.132,0.152,24
0.909,0.805,0.104,24
0.557,0.434,0.123,25
0.800,0.583,0.216,37
0.258,0.132,0.125,24
0.447,0.352,0.095,19
0.913,0.818,0.095,26
0.544,0.439,0.104,21
1.205,1.043,0.162,28
0.658,0.482,0.177,28
1.058,0.922,0.136,26
0.343,0.156,0.188,21
0.271,0.051,0.221,36
0.481,0.255,0.226,28
0.440,0.261,0.178,29
0.318,0.162,0.156,21
1.392,1.272,0.120,20
1.044,0.947,0.097,26
0.979,0.851,0.128,25
0.510,0.327,0.183,24
1.199,1.035,0.164,30
0.723,0.608,0.115,18
1.132,1.021,0.111,19
1.237,1.153,0.084,23
0.793,0.703,0.090,24
0.655,0.413,0.243,47
0.324,0.202,0.122,24
0.674,0.581,0.093,21
1.229,1.136,0.093,24
0.596,0.405,0.191,35
1.382,1.280,0.103,27
1.246,1.080,0.166,28
0.465,0.343,0.122,23
1.040,0.922,0.118,21
0.195,0.039,0.156,22
0.600,0.496,0.104,14
0.523,0.256,0.267,44
0.706,0.573,0.133,26
0.374,0.234,0.141,24
0.624,0.487,0.137,24
0.674,0.507,0.167,22
0.576,0.456,0.121,27
0.355,0.071,0.285,35
0.970,0.833,0.137,25
0.521,0.317,0.203,35
0.220,0.083,0.136,24
0.371,0.230,0.141,22
0.372,0.177,0.195,27
0.251,0.073,0.178,18
0.626,0.477,0.150,26
0.885,0.582,0.303,40
0.644,0.437,0.207,25
1.092,0.927,0.165,23
0.378,0.073,0.305,59
1.059,0.926,0.133,27
0.583,0.476,0.107,21
0.825,0.674,0.151,23
0.325,0.199,0.127,17
0.298,0.148,0.150,24
0.481,0.348,0.132,21
0.624,0.482,0.142,25
1.170,1.030,0.140,27
0.996,0.864,0.132,25
1.292,1.169,0.123,25
1.308,1.157,0.151,21
0.259,0.116,0.143,28
1.368,1.269,0.099,18
1.107,0.959,0.147,22
0.314,0.188,0.126,26
0.243,0.084,0.159,26
0.441,0.331,0.110,22
0.675,0.497,0.178,23
1.012,0.854,0.159,25
1.409,1.305,0.104,23
1.107,0.964,0.144,20
0.740,0.567,0.173,28
