avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
1.090,0.999,0.090,26
1.248,1.156,0.092,21
0.538,0.424,0.115,27
0.667,0.569,0.098,27
0.928,0.826,0.103,26
0.925,0.810,0.115,22
1.246,1.142,0.104,27
0.587,0.467,0.120,25
0.193,0.069,0.124,19
0.289,0.129,0.160,23
1.058,0.947,0.111,25
0.805,0.686,0.118,23
1.268,0.854,0.414,76
1.001,0.848,0.153,26
0.771,0.610,0.161,31
0.875,0.723,0.152,25
0.608,0.332,0.276,29
0.946,0.768,0.178,24
0.952,0.824,0.128,23
1.398,1.291,0.107,19
0.675,0.551,0.124,26
0.942,0.775,0.167,25
0.323,0.211,0.112,25
0.371,0.235,0.136,26
1.165,1.074,0.091,22
1.175,1.072,0.103,23
0.352,0.234,0.118,23
0.660,0.574,0.086,18
1.036,0.918,0.118,28
0.660,0.562,0.097,24
0.174,0.056,0.118,29
0.281,0.110,0.171,22
0.995,0.903,0.093,21
0.367,0.158,0.210,34
0.535,0.432,0.103,24
0.816,0.691,0.124,25
0.319,0.202,0.117,25
0.266,0.134,0.132,21
1.241,1.142,0.099,24
0.560,0.408,0.152,25
0.330,0.205,0.125,23
0.500,0.430,0.071,21
1.034,0.931,0.103,25
0.782,0.491,0.291,59
1.250,1.156,0.094,20
1.041,0.919,0.121,25
0.471,0.343,0.128,17
0.309,0.139,0.171,21
0.350,0.240,0.110,22
0.250,0.083,0.166,29
1.146,1.053,0.093,22
0.555,0.159,0.396,59
1.369,1.268,0.101,17
0.212,0.087,0.125,15
0.645,0.544,0.101,24
1.039,0.923,0.116,21
1.147,1.043,0.104,26
0.286,0.191,0.095,25
0.552,0.458,0.095,17
0.252,0.113,0.139,22
1.004,0.930,0.074,17
0.592,0.473,0.120,29
0.211,0.090,0.121,26
0.643,0.576,0.067,22
0.463,0.313,0.150,29
1.152,1.042,0.110,23
1.228,1.128,0.100,22
0.924,0.761,0.162,29
0.881,0.770,0.110,29
0.418,0.307,0.111,19
0.409,0.321,0.088,24
0.725,0.583,0.142,20
0.381,0.255,0.126,18
0.296,0.202,0.094,24
1.001,0.890,0.111,30
0.493,0.364,0.129,23
1.296,1.162,0.133,27
0.659,0.547,0.111,26
0.533,0.428,0.105,24
0.542,0.402,0.140,18
0.396,0.294,0.102,19
1.355,1.262,0.093,18
0.528,0.429,0.099,29
1.344,1.244,0.100,24
0.553,0.450,0.103,22
0.528,0.366,0.161,27
0.209,0.076,0.133,23
1.000,0.906,0.094,18
1.133,1.009,0.124,23
0.559,0.414,0.145,27
0.526,0.440,0.086,18
1.287,1.149,0.139,26
0.535,0.242,0.293,54
0.214,0.093,0.122,22
0.490,0.310,0.180,31
0.249,0.091,0.158,22
0.369,0.253,0.116,23
0.347,0.137,0.211,32
0.265,0.150,0.114,24
0.477,0.346,0.131,25
