avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.248,0.112,0.136,18
0.757,0.589,0.168,26
1.183,1.074,0.109,22
0.470,0.354,0.117,21
0.802,0.698,0.104,20
0.839,0.725,0.114,24
1.057,0.926,0.131,23
1.058,0.949,0.110,23
0.588,0.463,0.125,19
1.284,1.164,0.120,23
0.482,0.326,0.156,26
1.277,1.151,0.126,19
0.354,0.096,0.259,35
0.269,0.114,0.156,32
0.369,0.234,0.136,22
0.252,0.094,0.158,16
0.856,0.595,0.261,34
1.202,1.076,0.127,28
0.183,0.058,0.125,30
0.791,0.669,0.121,14
0.477,0.361,0.116,23
0.222,0.092,0.130,21
0.542,0.405,0.137,22
0.898,0.788,0.110,27
0.576,0.468,0.108,29
0.788,0.693,0.096,24
0.215,0.090,0.125,24
1.294,1.184,0.110,27
0.778,0.681,0.097,24
0.429,0.331,0.099,24
0.445,0.321,0.124,24
0.657,0.567,0.090,17
0.694,0.591,0.103,20
0.179,0.068,0.111,22
0.650,0.561,0.090,22
0.553,0.404,0.150,23
0.417,0.330,0.086,23
0.387,0.296,0.091,29
0.424,0.321,0.103,21
0.842,0.764,0.078,19
0.215,0.109,0.106,24
1.115,1.003,0.112,25
0.477,0.227,0.251,42
0.779,0.700,0.080,20
0.912,0.822,0.091,24
0.790,0.669,0.121,24
0.243,0.092,0.151,24
0.308,0.222,0.085,23
0.785,0.669,0.116,24
1.271,1.169,0.102,21
1.048,0.944,0.104,26
0.750,0.469,0.281,58
1.050,0.919,0.131,27
0.429,0.323,0.106,23
1.252,1.146,0.107,27
0.906,0.801,0.105,24
0.515,0.429,0.087,20
0.290,0.134,0.156,29
0.837,0.711,0.126,24
0.311,0.174,0.136,22
0.279,0.144,0.135,22
0.272,0.142,0.130,24
0.212,0.089,0.122,25
0.763,0.684,0.079,19
1.152,1.026,0.126,24
0.259,0.130,0.129,30
0.464,0.123,0.341,83
0.739,0.577,0.161,29
0.312,0.214,0.099,25
0.640,0.533,0.107,23
0.282,0.144,0.138,22
0.894,0.759,0.135,23
0.278,0.178,0.099,22
0.305,0.214,0.091,17
0.285,0.190,0.094,27
0.665,0.569,0.096,23
0.243,0.137,0.106,11
0.644,0.557,0.087,18
0.658,0.547,0.111,24
0.393,0.194,0.199,37
0.541,0.466,0.075,25
1.289,1.171,0.118,25
0.561,0.464,0.097,22
0.762,0.652,0.111,24
0.446,0.309,0.137,27
0.267,0.139,0.128,22
1.272,1.148,0.123,26
0.531,0.411,0.121,17
0.898,0.789,0.108,28
1.393,1.289,0.104,24
0.677,0.549,0.128,27
0.318,0.172,0.146,23
0.509,0.426,0.083,21
1.018,0.933,0.085,17
0.507,0.404,0.103,13
1.362,1.255,0.107,17
1.274,1.141,0.133,25
0.554,0.439,0.115,21
0.441,0.295,0.146,29
0.576,0.448,0.128,27
