avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.232,0.052,0.180,52
0.326,0.072,0.254,50
0.231,0.093,0.139,27
0.264,0.157,0.106,19
0.246,0.089,0.157,29
0.316,0.135,0.181,24
0.232,0.121,0.111,27
0.240,0.133,0.108,30
0.159,0.049,0.110,28
0.237,0.097,0.140,27
0.270,0.113,0.157,33
0.554,0.057,0.497,98
0.589,0.071,0.517,100
0.213,0.079,0.134,29
0.580,0.097,0.483,100
0.261,0.141,0.120,31
0.236,0.154,0.082,19
0.417,0.091,0.326,76
0.299,0.148,0.151,28
0.193,0.067,0.126,31
0.184,0.091,0.093,28
0.230,0.128,0.101,28
0.198,0.072,0.126,26
0.572,0.070,0.502,100
0.402,0.075,0.327,61
0.232,0.088,0.144,39
0.268,0.082,0.187,34
0.220,0.097,0.123,30
0.260,0.080,0.180,29
0.115,0.029,0.086,28
0.212,0.102,0.110,24
0.251,0.135,0.116,24
0.256,0.134,0.122,26
0.398,0.097,0.301,64
0.233,0.124,0.110,41
0.217,0.076,0.141,30
0.602,0.045,0.556,99
0.258,0.117,0.141,28
0.302,0.136,0.166,29
0.287,0.146,0.141,28
0.163,0.048,0.115,29
0.296,0.065,0.231,63
0.369,0.062,0.307,70
0.207,0.082,0.126,32
0.227,0.080,0.148,31
0.131,0.039,0.093,25
0.225,0.122,0.103,27
0.179,0.110,0.069,24
0.249,0.116,0.133,31
0.243,0.127,0.116,34
0.298,0.136,0.163,37
0.531,0.066,0.465,99
0.270,0.161,0.109,29
0.243,0.114,0.129,32
0.256,0.126,0.130,25
0.245,0.128,0.117,33
0.231,0.127,0.104,29
0.216,0.098,0.118,26
0.259,0.155,0.104,30
0.289,0.151,0.138,25
0.249,0.109,0.140,23
0.300,0.138,0.162,32
0.243,0.103,0.140,31
0.211,0.097,0.114,28
0.273,0.118,0.155,24
0.224,0.099,0.125,27
0.271,0.093,0.178,29
0.141,0.045,0.096,21
0.241,0.095,0.146,34
0.221,0.104,0.118,26
0.423,0.051,0.372,88
0.464,0.053,0.412,91
0.254,0.132,0.121,28
0.254,0.146,0.108,23
0.253,0.102,0.151,25
0.321,0.153,0.168,38
0.249,0.121,0.128,23
0.222,0.080,0.142,31
0.149,0.059,0.091,23
0.203,0.032,0.171,47
0.275,0.141,0.134,31
0.461,0.060,0.401,98
0.226,0.110,0.117,32
0.240,0.131,0.108,26
0.222,0.120,0.102,31
0.216,0.087,0.129,30
0.206,0.106,0.100,26
0.213,0.127,0.087,26
0.233,0.071,0.162,33
0.146,0.046,0.100,32
0.227,0.113,0.114,28
0.521,0.072,0.448,100
0.188,0.094,0.094,28
0.440,0.082,0.358,85
0.209,0.105,0.104,21
0.224,0.113,0.111,28
0.407,0.032,0.376,85
0.146,0.059,0.087,28
0.226,0.116,0.110,28
0.188,0.075,0.113,33
