avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.568,0.465,0.103,20
0.155,0.036,0.119,26
0.269,0.175,0.093,26
0.175,0.057,0.118,32
0.219,0.096,0.123,29
0.611,0.531,0.080,22
0.380,0.292,0.088,21
0.154,0.045,0.109,19
1.079,0.936,0.143,28
1.093,1.019,0.074,18
1.014,0.914,0.100,19
0.540,0.426,0.114,26
0.933,0.811,0.121,26
0.611,0.488,0.124,21
1.150,0.929,0.221,45
0.203,0.097,0.106,24
0.648,0.561,0.087,19
0.436,0.340,0.096,22
1.335,1.254,0.081,25
0.822,0.695,0.127,27
0.207,0.111,0.096,18
0.454,0.221,0.233,48
0.801,0.696,0.105,28
0.263,0.143,0.120,15
0.355,0.221,0.134,28
0.452,0.340,0.111,26
0.486,0.363,0.123,16
0.422,0.314,0.108,28
1.061,0.939,0.122,25
0.230,0.025,0.204,38
0.326,0.202,0.124,27
0.519,0.426,0.093,23
0.177,0.025,0.152,34
1.084,0.939,0.145,21
1.179,1.042,0.137,26
0.807,0.581,0.225,45
0.988,0.889,0.100,23
0.352,0.224,0.129,15
0.598,0.466,0.132,23
0.281,0.156,0.125,21
0.213,0.100,0.113,26
1.002,0.902,0.100,18
0.638,0.542,0.096,25
1.149,1.047,0.103,22
1.261,1.177,0.084,24
1.359,1.258,0.101,26
0.662,0.575,0.087,17
1.134,1.034,0.099,28
1.383,1.272,0.111,25
0.493,0.151,0.342,67
1.277,1.189,0.089,22
0.252,0.121,0.131,26
1.251,1.176,0.075,22
0.536,0.438,0.098,21
0.439,0.310,0.129,20
1.357,1.244,0.113,25
0.277,0.179,0.098,22
0.662,0.416,0.246,41
0.753,0.657,0.096,23
1.001,0.892,0.109,24
0.246,0.112,0.133,19
0.838,0.672,0.167,27
0.985,0.895,0.090,17
0.907,0.806,0.101,22
1.007,0.912,0.095,25
0.204,0.075,0.128,20
0.794,0.688,0.105,24
0.254,0.187,0.067,18
0.553,0.468,0.085,18
0.529,0.254,0.274,58
0.381,0.252,0.129,21
1.002,0.899,0.103,21
1.381,1.271,0.110,29
1.240,1.122,0.118,20
0.485,0.313,0.172,27
1.240,1.129,0.112,29
0.180,0.068,0.112,27
0.423,0.200,0.222,40
0.940,0.827,0.113,25
0.926,0.811,0.115,23
0.776,0.676,0.100,22
0.466,0.226,0.240,46
0.435,0.330,0.106,26
1.211,1.130,0.081,15
0.347,0.131,0.216,41
1.400,1.272,0.128,26
1.055,0.934,0.120,17
1.027,0.944,0.082,27
1.269,1.169,0.100,29
1.348,1.247,0.101,28
0.842,0.574,0.268,65
0.913,0.803,0.110,25
0.413,0.201,0.212,35
0.442,0.353,0.089,21
1.059,0.842,0.217,40
1.270,1.175,0.094,26
0.240,0.138,0.102,19
1.215,1.124,0.091,19
0.434,0.332,0.102,26
0.679,0.548,0.131,25
