avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.368,0.041,0.327,88
0.238,0.124,0.115,26
0.189,0.062,0.127,34
0.215,0.116,0.099,27
0.250,0.142,0.107,27
0.531,0.081,0.450,100
0.304,0.148,0.157,34
0.219,0.102,0.117,25
0.549,0.039,0.510,100
0.207,0.084,0.123,24
0.225,0.116,0.110,26
0.211,0.103,0.108,28
0.266,0.136,0.130,33
0.237,0.096,0.141,38
0.163,0.074,0.090,27
0.218,0.131,0.087,25
0.247,0.084,0.163,34
0.152,0.057,0.095,21
0.539,0.062,0.477,100
0.248,0.115,0.133,29
0.569,0.055,0.515,93
0.138,0.057,0.080,26
0.215,0.089,0.126,21
0.217,0.072,0.145,28
0.310,0.055,0.255,58
0.221,0.108,0.112,23
0.171,0.107,0.065,26
0.148,0.028,0.120,29
0.592,0.056,0.537,100
0.379,0.156,0.223,35
0.178,0.083,0.095,26
0.176,0.058,0.117,32
0.382,0.084,0.297,62
0.138,0.043,0.095,28
0.626,0.096,0.529,100
0.159,0.070,0.088,19
0.519,0.054,0.465,78
0.280,0.134,0.146,26
0.241,0.098,0.143,28
0.105,0.021,0.083,23
0.280,0.136,0.143,27
0.204,0.095,0.109,21
0.330,0.134,0.196,36
0.362,0.033,0.328,68
0.215,0.051,0.165,29
0.637,0.103,0.534,100
0.641,0.067,0.574,100
0.203,0.082,0.121,33
0.175,0.050,0.125,26
0.250,0.113,0.137,24
0.303,0.146,0.157,28
0.605,0.060,0.545,100
0.226,0.112,0.114,26
0.322,0.149,0.173,31
0.214,0.099,0.115,23
0.262,0.139,0.123,26
0.216,0.111,0.105,29
0.346,0.149,0.197,30
0.227,0.120,0.107,26
0.290,0.132,0.159,25
0.559,0.047,0.512,100
0.317,0.158,0.159,31
0.201,0.081,0.120,23
0.387,0.035,0.352,63
0.307,0.144,0.163,30
0.280,0.081,0.200,39
0.276,0.128,0.148,26
0.270,0.123,0.147,29
0.229,0.119,0.109,26
0.274,0.138,0.136,19
0.547,0.062,0.485,100
0.279,0.111,0.168,30
0.255,0.136,0.120,23
0.216,0.089,0.127,31
0.258,0.090,0.168,31
0.248,0.134,0.114,27
0.236,0.093,0.143,25
0.315,0.146,0.169,28
0.552,0.062,0.490,100
0.195,0.060,0.134,26
0.163,0.058,0.105,29
0.203,0.094,0.109,28
0.164,0.060,0.105,36
0.266,0.117,0.148,29
0.207,0.085,0.121,31
0.165,0.069,0.096,21
0.213,0.052,0.161,35
0.302,0.113,0.189,31
0.521,0.052,0.470,84
0.162,0.060,0.102,27
0.189,0.091,0.097,25
0.226,0.109,0.117,26
0.274,0.089,0.184,31
0.315,0.144,0.172,27
0.254,0.059,0.195,49
0.265,0.130,0.135,26
0.222,0.117,0.105,22
0.234,0.133,0.102,18
0.189,0.055,0.133,25
0.604,0.062,0.541,100
