avg_time, avg_time_on_pso, avg_time_on_solver, n_bad_status
0.193, 0.102, 0.090, 28
0.252, 0.142, 0.111, 29
0.164, 0.073, 0.091, 25
0.175, 0.093, 0.082, 28
0.283, 0.130, 0.154, 40
0.196, 0.110, 0.086, 17
0.205, 0.110, 0.096, 29
0.168, 0.099, 0.069, 14
0.245, 0.033, 0.212, 73
0.174, 0.061, 0.113, 25
0.265, 0.145, 0.120, 35
0.181, 0.094, 0.087, 29
0.153, 0.088, 0.065, 26
0.243, 0.140, 0.102, 25
0.266, 0.123, 0.144, 33
0.227, 0.106, 0.121, 29
0.249, 0.058, 0.191, 43
0.258, 0.135, 0.123, 26
0.211, 0.099, 0.111, 30
0.237, 0.131, 0.106, 29
0.190, 0.076, 0.113, 33
0.443, 0.090, 0.352, 86
0.181, 0.074, 0.107, 27
0.194, 0.095, 0.099, 26
0.244, 0.147, 0.097, 27
0.233, 0.140, 0.093, 21
0.396, 0.053, 0.343, 98
0.225, 0.106, 0.120, 26
0.215, 0.118, 0.097, 21
0.190, 0.094, 0.097, 24
0.115, 0.027, 0.088, 27
0.481, 0.041, 0.440, 99
0.234, 0.106, 0.128, 33
0.136, 0.050, 0.086, 26
0.173, 0.081, 0.092, 33
0.246, 0.115, 0.131, 34
0.164, 0.075, 0.089, 29
0.329, 0.051, 0.279, 67
0.191, 0.115, 0.076, 26
0.146, 0.067, 0.079, 26
0.161, 0.074, 0.087, 27
0.204, 0.085, 0.118, 25
0.212, 0.135, 0.077, 20
0.219, 0.073, 0.146, 34
0.235, 0.132, 0.103, 28
0.197, 0.109, 0.088, 30
0.195, 0.094, 0.100, 25
0.281, 0.049, 0.232, 64
0.236, 0.096, 0.141, 29
0.370, 0.045, 0.325, 75
0.282, 0.139, 0.143, 37
0.138, 0.051, 0.087, 27
0.263, 0.134, 0.129, 35
0.446, 0.042, 0.405, 90
0.211, 0.093, 0.118, 26
0.236, 0.129, 0.107, 25
0.287, 0.140, 0.147, 31
0.217, 0.067, 0.150, 32
0.232, 0.111, 0.121, 29
0.307, 0.050, 0.257, 64
0.243, 0.132, 0.111, 25
0.249, 0.121, 0.128, 29
0.157, 0.042, 0.115, 26
0.287, 0.131, 0.156, 27
0.200, 0.067, 0.133, 30
0.279, 0.146, 0.133, 26
0.267, 0.120, 0.147, 27
0.262, 0.093, 0.169, 45
0.188, 0.093, 0.095, 28
0.191, 0.075, 0.115, 26
0.195, 0.089, 0.106, 25
0.556, 0.090, 0.467, 100
0.233, 0.057, 0.177, 42
0.205, 0.077, 0.128, 31
0.239, 0.100, 0.139, 33
0.251, 0.067, 0.184, 43
0.353, 0.155, 0.198, 39
0.241, 0.097, 0.144, 27
0.257, 0.086, 0.172, 35
0.396, 0.070, 0.326, 75
0.158, 0.067, 0.091, 26
0.256, 0.135, 0.121, 26
0.181, 0.085, 0.096, 26
0.250, 0.117, 0.133, 33
0.216, 0.103, 0.113, 29
0.178, 0.067, 0.111, 25
0.469, 0.041, 0.428, 100
0.273, 0.123, 0.150, 33
0.245, 0.111, 0.133, 28
0.218, 0.070, 0.148, 29
0.208, 0.095, 0.114, 25
0.274, 0.131, 0.143, 29
0.487, 0.078, 0.409, 100
0.171, 0.047, 0.125, 33
0.514, 0.066, 0.448, 100
0.384, 0.040, 0.344, 82
0.522, 0.059, 0.463, 100
0.186, 0.049, 0.137, 36
0.146, 0.052, 0.093, 25
0.222, 0.104, 0.118, 31
