avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.147,0.072,0.074,26
0.171,0.073,0.098,26
0.201,0.108,0.093,30
0.185,0.086,0.099,28
0.213,0.106,0.106,30
0.207,0.090,0.117,29
0.264,0.153,0.111,29
0.096,0.034,0.062,33
0.178,0.091,0.087,24
0.247,0.071,0.175,47
0.200,0.103,0.097,27
0.150,0.054,0.096,28
0.494,0.093,0.401,100
0.211,0.123,0.088,22
0.128,0.015,0.112,27
0.238,0.109,0.129,29
0.187,0.062,0.124,43
0.188,0.081,0.106,25
0.275,0.151,0.124,30
0.219,0.094,0.125,26
0.408,0.037,0.371,96
0.212,0.089,0.123,26
0.203,0.108,0.095,24
0.193,0.091,0.102,25
0.215,0.135,0.080,21
0.196,0.043,0.153,42
0.234,0.122,0.112,32
0.429,0.081,0.349,90
0.219,0.109,0.110,33
0.205,0.091,0.115,33
0.206,0.098,0.108,25
0.184,0.088,0.096,27
0.187,0.087,0.099,26
0.284,0.159,0.126,26
0.209,0.089,0.120,29
0.131,0.043,0.088,27
0.149,0.056,0.093,25
0.166,0.065,0.101,26
0.224,0.102,0.122,27
0.117,0.050,0.067,30
0.230,0.147,0.083,23
0.241,0.050,0.191,50
0.459,0.053,0.405,98
0.149,0.075,0.074,28
0.122,0.045,0.077,27
0.249,0.118,0.131,34
0.245,0.108,0.137,34
0.199,0.099,0.100,30
0.188,0.093,0.095,24
0.225,0.109,0.116,26
0.508,0.089,0.420,100
0.238,0.147,0.091,21
0.172,0.077,0.096,29
0.158,0.065,0.093,27
0.246,0.156,0.090,25
0.254,0.117,0.138,34
0.406,0.065,0.341,79
0.249,0.119,0.130,27
0.247,0.139,0.108,25
0.196,0.112,0.083,20
0.480,0.094,0.386,100
0.178,0.090,0.089,26
0.135,0.047,0.088,26
0.226,0.084,0.142,34
0.205,0.095,0.111,27
0.229,0.086,0.143,36
0.184,0.055,0.129,30
0.219,0.115,0.104,33
0.108,0.045,0.063,24
0.140,0.059,0.082,29
0.218,0.128,0.090,24
0.322,0.047,0.275,88
0.142,0.025,0.116,38
0.168,0.092,0.076,24
0.271,0.140,0.132,32
0.195,0.052,0.143,25
0.168,0.090,0.078,29
0.231,0.065,0.166,46
0.492,0.050,0.441,100
0.161,0.096,0.065,25
0.249,0.139,0.110,26
0.212,0.126,0.086,24
0.311,0.136,0.175,37
0.134,0.043,0.091,27
0.264,0.156,0.108,31
0.154,0.045,0.109,33
0.245,0.121,0.124,32
0.231,0.120,0.111,27
0.259,0.123,0.136,33
0.141,0.036,0.105,33
0.242,0.141,0.101,29
0.226,0.115,0.111,27
0.244,0.149,0.095,29
0.431,0.061,0.370,96
0.183,0.084,0.099,26
0.234,0.098,0.137,33
0.155,0.067,0.088,20
0.246,0.116,0.130,33
0.179,0.087,0.093,27
0.528,0.103,0.425,100
