avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.872,0.783,0.089,26
0.180,0.076,0.104,26
0.384,0.285,0.099,26
0.307,0.205,0.102,22
1.193,1.111,0.082,22
0.963,0.881,0.082,19
0.494,0.405,0.089,23
0.869,0.776,0.093,25
0.535,0.394,0.141,18
0.896,0.781,0.115,28
0.416,0.321,0.095,22
0.241,0.131,0.109,28
0.680,0.575,0.105,23
0.658,0.539,0.119,21
1.353,1.255,0.098,26
1.024,0.919,0.105,26
0.710,0.574,0.136,21
0.307,0.202,0.105,25
0.279,0.195,0.085,20
0.466,0.257,0.210,35
0.651,0.553,0.097,20
0.270,0.071,0.199,36
1.151,0.922,0.229,38
0.279,0.081,0.198,44
0.764,0.688,0.077,19
1.074,1.001,0.073,16
0.517,0.418,0.099,22
0.774,0.671,0.102,26
0.478,0.202,0.276,64
1.142,1.044,0.097,25
0.325,0.222,0.103,15
0.133,0.037,0.096,25
1.249,1.139,0.111,30
0.399,0.307,0.092,23
0.293,0.178,0.114,27
0.206,0.088,0.118,17
0.278,0.048,0.230,41
0.824,0.535,0.289,59
0.409,0.185,0.225,40
0.519,0.428,0.091,27
1.338,1.231,0.107,24
0.968,0.875,0.093,20
0.792,0.682,0.110,23
0.203,0.067,0.136,29
0.329,0.224,0.104,26
0.239,0.114,0.125,25
0.326,0.202,0.124,19
1.333,1.241,0.093,24
0.981,0.873,0.108,24
0.513,0.409,0.104,28
1.102,0.990,0.113,16
0.796,0.669,0.127,25
0.699,0.399,0.300,53
0.422,0.326,0.097,26
0.364,0.222,0.142,25
0.590,0.480,0.110,34
0.260,0.133,0.127,19
0.670,0.574,0.097,16
0.257,0.139,0.118,20
0.451,0.323,0.128,27
0.499,0.404,0.095,22
0.642,0.542,0.100,28
0.488,0.415,0.073,14
0.790,0.682,0.108,28
0.897,0.789,0.108,24
0.180,0.048,0.132,21
0.331,0.200,0.131,28
0.888,0.797,0.091,22
0.383,0.291,0.092,28
0.151,0.025,0.127,13
0.515,0.397,0.118,24
0.549,0.439,0.110,21
1.202,1.112,0.090,25
0.628,0.526,0.101,25
0.630,0.526,0.104,24
0.388,0.161,0.227,46
0.247,0.147,0.100,16
0.711,0.529,0.182,33
1.340,1.245,0.094,21
0.430,0.345,0.084,19
0.500,0.417,0.083,23
0.306,0.207,0.099,28
1.256,1.129,0.127,30
0.553,0.441,0.112,24
0.184,0.070,0.114,21
0.372,0.220,0.152,30
0.764,0.667,0.097,18
0.644,0.554,0.090,27
0.421,0.313,0.108,18
0.407,0.299,0.108,18
0.420,0.310,0.110,22
0.732,0.590,0.142,21
0.717,0.635,0.082,19
1.330,1.240,0.090,24
0.519,0.439,0.080,19
0.787,0.684,0.103,22
0.850,0.783,0.067,19
0.302,0.186,0.116,22
0.572,0.452,0.120,27
0.334,0.231,0.103,25
