avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.442,0.065,0.377,100
0.219,0.121,0.097,25
0.199,0.109,0.090,28
0.230,0.105,0.125,33
0.175,0.083,0.092,27
0.347,0.043,0.303,80
0.588,0.089,0.499,100
0.196,0.086,0.110,31
0.222,0.113,0.109,22
0.259,0.130,0.129,27
0.273,0.102,0.171,37
0.445,0.025,0.420,100
0.502,0.079,0.423,100
0.248,0.107,0.141,35
0.260,0.100,0.160,33
0.151,0.069,0.082,23
0.185,0.080,0.105,24
0.217,0.114,0.103,27
0.457,0.015,0.442,100
0.201,0.104,0.097,25
0.260,0.120,0.140,35
0.237,0.130,0.107,24
0.317,0.068,0.249,58
0.471,0.046,0.425,100
0.134,0.057,0.078,24
0.288,0.077,0.211,49
0.228,0.116,0.113,30
0.170,0.071,0.100,25
0.153,0.069,0.084,25
0.492,0.105,0.387,99
0.198,0.087,0.111,34
0.285,0.160,0.125,36
0.122,0.049,0.072,26
0.286,0.076,0.210,46
0.124,0.047,0.077,29
0.205,0.074,0.131,37
0.248,0.142,0.106,27
0.185,0.103,0.082,21
0.190,0.085,0.105,30
0.203,0.092,0.111,29
0.241,0.043,0.198,55
0.243,0.129,0.114,22
0.180,0.095,0.085,26
0.199,0.086,0.113,33
0.135,0.053,0.081,27
0.181,0.076,0.106,31
0.238,0.115,0.123,25
0.185,0.065,0.120,26
0.236,0.100,0.136,38
0.197,0.075,0.123,30
0.225,0.098,0.127,36
0.163,0.080,0.084,22
0.454,0.079,0.375,94
0.258,0.142,0.116,29
0.168,0.081,0.087,19
0.241,0.110,0.131,31
0.233,0.140,0.093,26
0.335,0.067,0.267,72
0.159,0.059,0.100,23
0.476,0.057,0.418,100
0.235,0.149,0.087,26
0.263,0.117,0.147,33
0.279,0.145,0.134,30
0.257,0.138,0.119,28
0.249,0.140,0.109,30
0.262,0.150,0.112,29
0.479,0.077,0.402,95
0.329,0.040,0.289,76
0.143,0.061,0.082,28
0.245,0.119,0.126,35
0.245,0.120,0.125,37
0.247,0.139,0.108,25
0.188,0.042,0.146,38
0.192,0.056,0.137,29
0.133,0.055,0.078,22
0.109,0.030,0.078,34
0.491,0.062,0.429,100
0.208,0.101,0.107,27
0.253,0.136,0.117,30
0.489,0.067,0.422,100
0.253,0.121,0.132,32
0.459,0.057,0.402,99
0.144,0.036,0.108,35
0.409,0.080,0.329,78
0.252,0.155,0.097,24
0.233,0.147,0.085,35
0.254,0.137,0.117,30
0.255,0.122,0.134,29
0.126,0.033,0.093,29
0.210,0.114,0.097,25
0.137,0.067,0.070,27
0.212,0.101,0.110,20
0.216,0.119,0.097,26
0.210,0.122,0.089,29
0.270,0.096,0.174,31
0.240,0.158,0.082,25
0.166,0.095,0.071,23
0.162,0.091,0.071,21
0.211,0.117,0.094,24
0.221,0.102,0.119,27
