avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.433,0.304,0.129,20
1.115,1.023,0.092,24
1.213,1.126,0.087,28
0.639,0.560,0.079,21
0.750,0.649,0.101,26
0.290,0.111,0.178,31
0.877,0.752,0.126,19
0.739,0.654,0.084,27
0.688,0.574,0.114,24
0.910,0.812,0.098,27
0.854,0.780,0.075,22
0.291,0.047,0.244,40
0.612,0.468,0.143,26
0.779,0.677,0.103,26
0.875,0.782,0.093,23
0.744,0.488,0.257,61
0.541,0.427,0.114,25
0.654,0.577,0.077,16
0.134,0.025,0.110,23
1.094,1.011,0.083,26
0.670,0.580,0.089,26
1.242,1.143,0.099,25
0.482,0.365,0.118,20
0.239,0.086,0.153,27
0.319,0.156,0.163,26
0.601,0.474,0.127,28
0.547,0.471,0.076,24
0.492,0.413,0.079,17
0.668,0.404,0.264,51
1.044,0.849,0.195,32
0.675,0.553,0.122,21
1.328,1.212,0.115,20
0.341,0.110,0.231,34
0.679,0.510,0.169,23
0.286,0.109,0.177,21
0.694,0.488,0.207,29
1.057,0.956,0.101,20
0.464,0.354,0.110,26
0.799,0.667,0.132,22
0.501,0.351,0.151,28
0.287,0.115,0.172,29
0.802,0.709,0.093,24
1.132,0.868,0.264,44
0.328,0.219,0.110,21
0.392,0.233,0.159,29
0.735,0.592,0.143,24
0.830,0.705,0.125,20
0.442,0.313,0.129,22
0.665,0.560,0.105,24
0.399,0.314,0.084,22
1.006,0.891,0.116,27
0.611,0.529,0.082,14
0.848,0.581,0.268,49
1.152,1.041,0.111,23
0.493,0.423,0.070,18
0.567,0.458,0.109,24
1.005,0.926,0.080,17
0.538,0.371,0.166,33
0.316,0.185,0.131,29
0.292,0.156,0.136,31
1.305,1.186,0.119,25
1.375,1.266,0.110,24
1.076,0.955,0.121,26
0.955,0.848,0.107,27
1.045,0.953,0.092,16
1.202,1.080,0.122,24
0.357,0.243,0.114,24
0.188,0.079,0.109,19
0.574,0.220,0.354,65
0.814,0.710,0.104,26
0.619,0.494,0.124,28
1.080,0.966,0.115,22
0.358,0.149,0.209,33
0.256,0.182,0.074,23
0.264,0.180,0.084,19
0.510,0.072,0.438,70
0.446,0.308,0.138,26
0.989,0.895,0.094,22
0.810,0.723,0.088,26
0.557,0.412,0.145,32
0.910,0.819,0.092,19
0.510,0.258,0.252,42
0.228,0.090,0.138,26
0.855,0.593,0.262,48
1.222,1.087,0.135,22
0.961,0.855,0.106,24
1.440,1.302,0.138,28
1.282,1.168,0.113,25
0.202,0.060,0.141,18
0.613,0.478,0.135,29
0.845,0.411,0.434,85
1.043,0.907,0.135,27
1.065,0.932,0.133,26
1.269,1.168,0.101,23
0.638,0.559,0.079,18
1.071,0.957,0.113,25
0.751,0.661,0.091,16
0.888,0.775,0.113,26
1.129,1.026,0.103,23
1.126,1.013,0.113,28
