avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.251,0.079,0.173,48
0.138,0.053,0.084,25
0.240,0.135,0.105,28
0.242,0.127,0.116,28
0.230,0.116,0.114,24
0.196,0.099,0.097,25
0.155,0.062,0.093,27
0.247,0.131,0.116,28
0.163,0.086,0.078,27
0.197,0.067,0.130,29
0.369,0.079,0.291,91
0.214,0.100,0.114,30
0.261,0.136,0.125,33
0.247,0.152,0.096,29
0.217,0.063,0.155,43
0.305,0.059,0.245,69
0.102,0.040,0.063,24
0.219,0.085,0.133,29
0.292,0.064,0.229,55
0.215,0.074,0.140,36
0.212,0.097,0.115,33
0.192,0.093,0.100,28
0.477,0.064,0.413,100
0.134,0.057,0.077,29
0.236,0.091,0.145,33
0.369,0.049,0.320,82
0.170,0.083,0.087,26
0.138,0.063,0.075,24
0.168,0.044,0.123,35
0.206,0.111,0.095,31
0.183,0.054,0.129,42
0.281,0.155,0.126,34
0.156,0.062,0.093,27
0.468,0.041,0.426,100
0.207,0.088,0.119,29
0.390,0.057,0.333,86
0.438,0.052,0.386,100
0.257,0.076,0.180,58
0.282,0.139,0.143,38
0.165,0.055,0.110,34
0.232,0.129,0.103,36
0.195,0.100,0.095,30
0.228,0.126,0.102,28
0.235,0.130,0.106,29
0.251,0.147,0.104,25
0.249,0.124,0.125,33
0.100,0.033,0.067,25
0.201,0.089,0.112,26
0.205,0.102,0.103,26
0.158,0.043,0.115,29
0.220,0.094,0.126,28
0.143,0.075,0.068,21
0.258,0.111,0.148,34
0.277,0.143,0.134,38
0.241,0.149,0.092,23
0.153,0.035,0.118,33
0.255,0.106,0.149,30
0.305,0.168,0.138,28
0.225,0.075,0.150,26
0.280,0.135,0.145,36
0.123,0.060,0.063,24
0.263,0.139,0.124,30
0.196,0.107,0.089,25
0.243,0.142,0.101,28
0.242,0.148,0.094,19
0.248,0.076,0.172,36
0.237,0.111,0.126,26
0.317,0.078,0.239,54
0.149,0.071,0.078,26
0.263,0.135,0.129,27
0.449,0.027,0.422,93
0.189,0.072,0.117,32
0.216,0.087,0.129,31
0.281,0.140,0.141,32
0.232,0.115,0.117,24
0.161,0.063,0.097,26
0.166,0.049,0.117,26
0.273,0.144,0.130,25
0.192,0.088,0.104,25
0.230,0.088,0.142,26
0.250,0.146,0.104,24
0.230,0.121,0.109,32
0.219,0.092,0.126,29
0.486,0.048,0.438,100
0.195,0.088,0.107,31
0.498,0.053,0.445,100
0.213,0.127,0.086,31
0.244,0.040,0.204,54
0.248,0.150,0.098,21
0.228,0.100,0.128,27
0.200,0.072,0.128,26
0.252,0.098,0.155,42
0.211,0.076,0.135,32
0.316,0.103,0.213,56
0.211,0.109,0.102,30
0.475,0.038,0.436,98
0.250,0.124,0.126,32
0.434,0.027,0.407,89
0.218,0.105,0.113,26
0.202,0.115,0.087,28
