avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.246,0.125,0.121,28
0.111,0.022,0.090,25
0.210,0.063,0.148,31
0.526,0.035,0.491,100
0.143,0.047,0.096,25
0.201,0.084,0.117,25
0.170,0.067,0.103,28
0.457,0.029,0.428,90
0.244,0.107,0.138,34
0.262,0.122,0.140,30
0.302,0.133,0.169,34
0.233,0.091,0.141,28
0.295,0.145,0.150,27
0.543,0.078,0.465,90
0.282,0.106,0.177,34
0.660,0.055,0.604,100
0.265,0.118,0.147,31
0.263,0.112,0.151,29
0.230,0.136,0.094,26
0.280,0.137,0.144,23
0.212,0.047,0.164,41
0.185,0.071,0.114,35
0.331,0.137,0.194,36
0.533,0.044,0.489,100
0.280,0.071,0.209,39
0.251,0.111,0.141,23
0.199,0.069,0.130,39
0.554,0.064,0.490,100
0.264,0.155,0.109,27
0.421,0.017,0.404,93
0.226,0.082,0.144,29
0.203,0.088,0.115,34
0.101,0.017,0.084,31
0.201,0.107,0.094,20
0.269,0.140,0.129,29
0.454,0.085,0.369,84
0.220,0.100,0.119,28
0.496,0.055,0.441,100
0.448,0.082,0.366,100
0.208,0.056,0.152,39
0.540,0.059,0.481,100
0.267,0.121,0.147,30
0.209,0.091,0.118,27
0.314,0.152,0.162,37
0.264,0.158,0.106,30
0.298,0.124,0.174,31
0.218,0.124,0.094,37
0.227,0.130,0.096,27
0.256,0.145,0.111,23
0.153,0.054,0.099,33
0.324,0.166,0.158,33
0.125,0.060,0.065,23
0.286,0.167,0.118,22
0.240,0.096,0.144,27
0.275,0.065,0.210,53
0.256,0.115,0.141,32
0.178,0.061,0.118,28
0.174,0.069,0.104,28
0.188,0.087,0.100,25
0.211,0.102,0.109,29
0.150,0.044,0.106,23
0.430,0.090,0.340,77
0.292,0.109,0.183,34
0.306,0.130,0.176,31
0.256,0.124,0.133,32
0.545,0.040,0.505,100
0.256,0.129,0.127,25
0.176,0.072,0.104,29
0.246,0.130,0.115,29
0.217,0.060,0.156,34
0.475,0.059,0.417,85
0.238,0.115,0.123,31
0.257,0.149,0.109,24
0.231,0.118,0.113,23
0.547,0.064,0.482,100
0.272,0.120,0.152,33
0.124,0.035,0.089,24
0.161,0.054,0.107,26
0.284,0.157,0.128,32
0.273,0.141,0.132,26
0.263,0.111,0.153,25
0.539,0.059,0.480,100
0.307,0.106,0.201,32
0.281,0.127,0.154,28
0.581,0.051,0.530,100
0.294,0.147,0.148,35
0.229,0.106,0.123,26
0.309,0.160,0.149,27
0.276,0.156,0.119,19
0.251,0.127,0.124,28
0.332,0.083,0.249,57
0.245,0.130,0.115,25
0.158,0.052,0.107,34
0.222,0.119,0.103,24
0.192,0.095,0.096,29
0.281,0.163,0.117,25
0.170,0.052,0.118,25
0.250,0.116,0.134,27
0.205,0.103,0.102,26
0.198,0.101,0.097,26
