avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.156,0.062,0.094,26
0.136,0.039,0.096,25
0.207,0.131,0.076,22
0.192,0.057,0.136,32
0.239,0.116,0.122,30
0.221,0.103,0.118,30
0.404,0.078,0.327,77
0.195,0.097,0.098,29
0.148,0.051,0.097,25
0.231,0.128,0.103,23
0.241,0.108,0.133,27
0.138,0.065,0.073,33
0.462,0.052,0.410,100
0.255,0.119,0.136,28
0.217,0.071,0.146,28
0.205,0.087,0.118,27
0.208,0.089,0.119,28
0.196,0.054,0.142,30
0.262,0.145,0.118,24
0.286,0.035,0.251,55
0.248,0.108,0.141,29
0.209,0.099,0.110,24
0.190,0.077,0.113,26
0.226,0.080,0.145,31
0.538,0.077,0.461,100
0.169,0.075,0.093,25
0.294,0.154,0.139,30
0.286,0.151,0.135,28
0.567,0.078,0.489,98
0.228,0.076,0.152,39
0.257,0.115,0.142,38
0.543,0.056,0.487,100
0.239,0.063,0.176,42
0.236,0.105,0.131,30
0.256,0.152,0.104,24
0.360,0.058,0.301,62
0.197,0.068,0.129,26
0.599,0.047,0.551,100
0.260,0.140,0.119,22
0.277,0.062,0.214,34
0.253,0.122,0.131,27
0.532,0.043,0.488,99
0.525,0.056,0.470,100
0.152,0.059,0.093,21
0.285,0.118,0.167,37
0.250,0.099,0.151,37
0.256,0.125,0.131,27
0.417,0.045,0.372,98
0.218,0.140,0.078,26
0.329,0.161,0.169,34
0.280,0.131,0.149,35
0.286,0.152,0.134,27
0.124,0.018,0.106,28
0.252,0.142,0.109,28
0.306,0.137,0.168,33
0.273,0.069,0.205,32
0.293,0.124,0.169,29
0.273,0.112,0.161,34
0.361,0.083,0.278,62
0.274,0.088,0.187,30
0.272,0.042,0.231,45
0.238,0.138,0.100,23
0.209,0.082,0.127,28
0.186,0.058,0.128,28
0.197,0.068,0.129,27
0.280,0.170,0.110,24
0.138,0.057,0.082,29
0.215,0.105,0.110,25
0.274,0.108,0.166,28
0.293,0.028,0.265,53
0.172,0.080,0.092,28
0.263,0.143,0.119,24
0.210,0.043,0.167,37
0.263,0.062,0.201,39
0.174,0.059,0.116,30
0.212,0.113,0.098,24
0.214,0.069,0.145,29
0.298,0.167,0.131,24
0.244,0.140,0.104,27
0.260,0.120,0.139,33
0.284,0.134,0.150,30
0.234,0.115,0.119,26
0.705,0.074,0.631,100
0.280,0.054,0.227,42
0.279,0.169,0.110,25
0.258,0.135,0.123,29
0.334,0.128,0.207,39
0.679,0.089,0.591,100
0.263,0.155,0.107,26
0.240,0.098,0.142,26
0.501,0.034,0.466,100
0.214,0.099,0.115,29
0.300,0.164,0.136,30
0.533,0.064,0.470,99
0.220,0.122,0.098,24
0.245,0.057,0.188,46
0.264,0.119,0.145,30
0.200,0.084,0.117,23
0.204,0.087,0.117,25
0.225,0.115,0.109,31
