avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.168,0.091,0.077,20
0.158,0.069,0.089,29
0.319,0.051,0.268,79
0.141,0.036,0.105,33
0.210,0.111,0.100,27
0.232,0.105,0.127,27
0.207,0.100,0.108,28
0.176,0.073,0.103,32
0.261,0.111,0.150,37
0.220,0.104,0.116,30
0.572,0.086,0.486,100
0.143,0.063,0.080,27
0.237,0.066,0.171,43
0.189,0.027,0.162,38
0.583,0.037,0.546,100
0.353,0.046,0.307,72
0.311,0.139,0.172,35
0.263,0.143,0.120,25
0.237,0.114,0.123,32
0.285,0.125,0.159,31
0.531,0.092,0.439,98
0.238,0.089,0.149,27
0.274,0.112,0.162,33
0.291,0.138,0.153,28
0.277,0.146,0.131,32
0.195,0.079,0.116,22
0.294,0.160,0.134,29
0.252,0.141,0.111,27
0.128,0.067,0.061,25
0.302,0.110,0.192,33
0.244,0.131,0.112,29
0.213,0.065,0.148,31
0.182,0.049,0.133,31
0.119,0.032,0.087,26
0.290,0.135,0.154,31
0.574,0.035,0.539,100
0.224,0.099,0.126,24
0.333,0.053,0.280,54
0.232,0.113,0.119,28
0.256,0.121,0.135,35
0.190,0.075,0.115,28
0.320,0.138,0.182,42
0.178,0.081,0.097,26
0.186,0.069,0.116,19
0.269,0.153,0.116,31
0.223,0.088,0.135,28
0.258,0.124,0.135,21
0.218,0.084,0.133,30
0.241,0.150,0.091,19
0.519,0.040,0.479,98
0.289,0.163,0.125,27
0.154,0.049,0.105,27
0.242,0.134,0.108,24
0.569,0.047,0.522,98
0.204,0.099,0.105,23
0.259,0.157,0.102,26
0.218,0.113,0.105,29
0.229,0.114,0.114,30
0.229,0.113,0.116,25
0.210,0.110,0.100,19
0.227,0.118,0.110,24
0.504,0.060,0.444,100
0.263,0.155,0.107,21
0.257,0.075,0.182,33
0.503,0.071,0.433,100
0.247,0.121,0.126,31
0.242,0.121,0.122,26
0.245,0.129,0.116,24
0.237,0.122,0.114,22
0.235,0.089,0.146,31
0.238,0.094,0.145,30
0.107,0.031,0.077,29
0.169,0.068,0.102,27
0.168,0.083,0.084,26
0.225,0.091,0.134,32
0.221,0.112,0.109,26
0.310,0.152,0.158,34
0.288,0.138,0.150,34
0.217,0.110,0.107,29
0.224,0.115,0.109,28
0.213,0.111,0.101,28
0.293,0.131,0.162,31
0.264,0.060,0.204,35
0.227,0.125,0.102,26
0.211,0.101,0.111,27
0.247,0.107,0.140,30
0.237,0.105,0.131,24
0.222,0.105,0.117,31
0.298,0.123,0.175,42
0.258,0.139,0.118,26
0.185,0.051,0.134,38
0.200,0.055,0.145,39
0.273,0.144,0.129,29
0.273,0.119,0.154,35
0.183,0.080,0.103,28
0.174,0.064,0.110,26
0.224,0.108,0.116,28
0.210,0.124,0.086,20
0.163,0.052,0.111,23
0.294,0.129,0.165,36
