avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.210,0.043,0.167,42
0.158,0.048,0.110,30
0.161,0.046,0.115,34
0.265,0.129,0.136,34
0.232,0.119,0.113,28
0.477,0.042,0.435,100
0.128,0.030,0.098,32
0.264,0.071,0.193,57
0.182,0.089,0.094,25
0.519,0.074,0.446,100
0.288,0.112,0.176,40
0.149,0.040,0.109,26
0.190,0.103,0.087,25
0.270,0.127,0.143,36
0.250,0.101,0.149,31
0.227,0.051,0.176,50
0.244,0.107,0.136,30
0.224,0.115,0.109,28
0.507,0.074,0.433,100
0.189,0.100,0.089,26
0.166,0.072,0.093,23
0.269,0.152,0.117,27
0.183,0.091,0.092,26
0.518,0.042,0.476,100
0.239,0.121,0.117,33
0.088,0.016,0.072,24
0.175,0.077,0.099,27
0.168,0.056,0.112,31
0.192,0.084,0.108,26
0.236,0.153,0.083,23
0.185,0.084,0.101,26
0.229,0.140,0.089,26
0.417,0.063,0.354,67
0.275,0.124,0.151,31
0.231,0.100,0.132,24
0.202,0.070,0.132,22
0.283,0.154,0.130,34
0.241,0.138,0.104,29
0.232,0.104,0.127,28
0.229,0.109,0.120,30
0.217,0.066,0.152,37
0.214,0.075,0.139,37
0.270,0.108,0.162,33
0.188,0.054,0.133,34
0.200,0.091,0.109,29
0.280,0.123,0.157,32
0.444,0.088,0.356,75
0.300,0.153,0.147,26
0.242,0.118,0.124,28
0.199,0.108,0.091,27
0.306,0.127,0.178,39
0.288,0.108,0.180,34
0.191,0.084,0.107,28
0.260,0.122,0.138,24
0.267,0.137,0.129,29
0.205,0.108,0.097,24
0.188,0.034,0.154,37
0.235,0.087,0.148,29
0.253,0.135,0.118,32
0.197,0.053,0.144,38
0.154,0.045,0.108,32
0.217,0.089,0.128,28
0.157,0.075,0.083,26
0.130,0.045,0.085,22
0.512,0.076,0.436,92
0.143,0.051,0.091,29
0.223,0.088,0.135,29
0.140,0.062,0.078,18
0.265,0.143,0.122,26
0.436,0.043,0.393,100
0.473,0.078,0.395,93
0.281,0.054,0.227,54
0.221,0.109,0.111,34
0.217,0.095,0.122,35
0.296,0.141,0.155,28
0.179,0.066,0.113,27
0.157,0.050,0.107,27
0.222,0.123,0.099,27
0.206,0.088,0.117,32
0.455,0.044,0.411,100
0.240,0.113,0.127,39
0.149,0.057,0.092,28
0.134,0.033,0.101,29
0.206,0.108,0.098,27
0.227,0.114,0.113,29
0.516,0.099,0.417,100
0.214,0.110,0.104,28
0.201,0.108,0.093,28
0.240,0.102,0.138,39
0.222,0.112,0.110,21
0.503,0.071,0.432,100
0.205,0.100,0.105,27
0.114,0.048,0.066,20
0.228,0.066,0.162,40
0.213,0.101,0.112,23
0.198,0.101,0.097,29
0.228,0.120,0.108,29
0.204,0.086,0.118,27
0.212,0.113,0.098,29
0.192,0.091,0.100,22
