avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.455,0.086,0.368,90
0.222,0.090,0.132,32
0.169,0.073,0.096,31
0.202,0.110,0.092,27
0.307,0.076,0.232,64
0.226,0.117,0.108,29
0.293,0.132,0.161,32
0.541,0.090,0.452,100
0.221,0.106,0.116,20
0.193,0.087,0.106,27
0.218,0.115,0.103,21
0.469,0.080,0.389,97
0.243,0.122,0.121,31
0.220,0.114,0.106,17
0.219,0.108,0.111,27
0.227,0.095,0.132,34
0.269,0.128,0.141,27
0.191,0.083,0.109,24
0.292,0.139,0.153,28
0.273,0.110,0.163,28
0.240,0.119,0.121,27
0.282,0.148,0.134,32
0.342,0.053,0.289,73
0.263,0.146,0.118,29
0.285,0.141,0.144,32
0.177,0.088,0.089,28
0.266,0.130,0.136,30
0.256,0.144,0.113,26
0.428,0.070,0.358,82
0.536,0.100,0.436,100
0.210,0.129,0.082,29
0.243,0.122,0.122,27
0.224,0.096,0.128,30
0.242,0.110,0.133,31
0.242,0.104,0.137,26
0.277,0.046,0.231,59
0.248,0.130,0.118,25
0.524,0.070,0.454,100
0.276,0.131,0.145,31
0.178,0.061,0.117,26
0.297,0.136,0.161,33
0.495,0.050,0.445,100
0.234,0.123,0.111,32
0.248,0.140,0.108,25
0.206,0.047,0.160,36
0.329,0.100,0.229,53
0.230,0.151,0.078,22
0.253,0.151,0.102,30
0.161,0.062,0.099,32
0.172,0.069,0.103,31
0.221,0.070,0.151,35
0.280,0.153,0.127,27
0.227,0.121,0.105,21
0.270,0.104,0.167,27
0.233,0.103,0.130,30
0.234,0.106,0.128,31
0.291,0.162,0.129,26
0.163,0.062,0.101,26
0.462,0.046,0.416,91
0.206,0.106,0.100,27
0.226,0.102,0.124,31
0.326,0.166,0.159,35
0.230,0.111,0.120,22
0.267,0.144,0.123,28
0.196,0.083,0.113,26
0.167,0.041,0.126,24
0.268,0.125,0.143,33
0.212,0.077,0.135,32
0.155,0.060,0.095,32
0.144,0.027,0.117,26
0.263,0.151,0.112,32
0.199,0.105,0.094,27
0.253,0.146,0.107,28
0.198,0.079,0.119,24
0.177,0.034,0.142,31
0.245,0.115,0.130,26
0.230,0.110,0.121,23
0.224,0.100,0.124,26
0.594,0.071,0.522,100
0.182,0.077,0.105,25
0.247,0.118,0.129,30
0.186,0.044,0.142,33
0.284,0.130,0.154,31
0.203,0.103,0.100,24
0.260,0.044,0.216,48
0.562,0.033,0.528,100
0.589,0.029,0.560,100
0.239,0.106,0.133,23
0.522,0.075,0.446,100
0.549,0.059,0.490,100
0.238,0.052,0.186,43
0.202,0.091,0.112,32
0.214,0.069,0.145,28
0.219,0.075,0.144,25
0.571,0.060,0.511,100
0.218,0.106,0.112,27
0.254,0.108,0.145,23
0.295,0.162,0.133,28
0.225,0.109,0.116,18
0.160,0.060,0.100,30
