avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.716,0.583,0.132,21
0.711,0.594,0.117,27
1.143,1.049,0.094,26
0.452,0.050,0.402,74
0.450,0.351,0.099,28
0.793,0.674,0.118,27
0.646,0.533,0.113,23
0.503,0.364,0.138,24
0.530,0.445,0.085,21
0.514,0.399,0.115,25
0.567,0.471,0.096,17
0.758,0.651,0.107,22
0.938,0.828,0.109,24
0.519,0.401,0.118,24
0.473,0.309,0.164,29
0.214,0.047,0.167,36
0.994,0.904,0.090,20
1.157,1.052,0.105,25
0.872,0.754,0.118,24
0.654,0.544,0.110,23
0.631,0.547,0.084,31
0.235,0.111,0.124,22
0.363,0.226,0.137,27
1.221,1.131,0.089,28
0.450,0.315,0.134,20
1.291,1.186,0.105,25
0.912,0.814,0.098,27
0.403,0.309,0.094,23
0.887,0.787,0.100,19
0.806,0.689,0.118,33
0.276,0.069,0.207,41
0.178,0.066,0.111,29
0.306,0.194,0.112,32
1.349,1.253,0.095,22
0.937,0.812,0.125,23
0.334,0.222,0.113,26
0.308,0.090,0.217,38
0.648,0.528,0.120,22
0.723,0.583,0.140,20
0.629,0.536,0.093,23
0.390,0.297,0.093,19
0.618,0.521,0.097,20
1.273,1.150,0.123,27
0.312,0.200,0.112,17
1.120,1.023,0.097,27
1.250,1.151,0.099,25
0.487,0.364,0.123,22
0.875,0.776,0.100,21
0.238,0.103,0.135,29
0.525,0.435,0.090,17
1.018,0.890,0.127,23
1.040,0.927,0.113,21
1.019,0.888,0.130,28
1.256,1.140,0.116,27
0.339,0.227,0.112,19
0.911,0.812,0.099,20
1.248,1.176,0.072,19
1.115,1.008,0.107,24
0.199,0.090,0.108,20
0.447,0.310,0.137,22
0.497,0.404,0.093,18
1.000,0.910,0.090,23
0.755,0.670,0.085,19
1.236,1.130,0.106,16
0.510,0.130,0.380,78
0.664,0.528,0.135,23
0.776,0.489,0.287,45
0.906,0.760,0.146,31
0.772,0.651,0.122,26
0.395,0.255,0.139,24
0.807,0.699,0.108,22
0.540,0.255,0.285,67
1.299,1.174,0.125,27
0.319,0.200,0.119,19
1.228,1.132,0.097,28
0.359,0.086,0.273,53
0.677,0.474,0.204,33
0.679,0.588,0.090,17
0.359,0.134,0.225,32
0.228,0.092,0.136,24
0.239,0.157,0.082,20
0.691,0.579,0.113,22
0.787,0.676,0.112,24
0.430,0.316,0.114,16
0.572,0.467,0.105,22
0.340,0.198,0.142,23
0.520,0.426,0.094,25
1.239,1.142,0.097,25
1.136,1.020,0.116,27
0.875,0.772,0.104,32
0.359,0.216,0.143,15
0.659,0.548,0.111,26
0.546,0.428,0.118,27
0.969,0.894,0.075,15
1.363,1.256,0.107,24
0.578,0.471,0.107,21
0.515,0.437,0.078,19
1.028,0.928,0.100,27
1.234,1.146,0.088,18
0.626,0.545,0.082,18
