avg_time,avg_time_on_pso,avg_time_on_solver,n_bad_status
0.090,0.036,0.054,22
0.223,0.137,0.085,22
0.240,0.120,0.120,22
0.195,0.089,0.106,34
0.206,0.064,0.142,31
0.160,0.068,0.093,25
0.377,0.046,0.330,85
0.258,0.149,0.109,26
0.160,0.066,0.095,29
0.229,0.135,0.095,23
0.166,0.022,0.144,39
0.174,0.108,0.066,21
0.130,0.025,0.104,33
0.261,0.044,0.217,57
0.216,0.108,0.108,31
0.234,0.143,0.091,22
0.439,0.047,0.393,94
0.234,0.137,0.098,25
0.238,0.115,0.123,28
0.198,0.099,0.099,26
0.196,0.094,0.102,24
0.437,0.036,0.401,98
0.178,0.093,0.085,26
0.250,0.109,0.141,30
0.458,0.026,0.432,100
0.470,0.052,0.418,95
0.167,0.072,0.095,24
0.234,0.095,0.139,39
0.452,0.032,0.420,100
0.392,0.087,0.305,74
0.302,0.048,0.254,66
0.257,0.108,0.150,34
0.113,0.041,0.072,27
0.222,0.118,0.104,28
0.133,0.040,0.093,30
0.203,0.088,0.115,29
0.243,0.154,0.089,29
0.220,0.110,0.110,24
0.307,0.143,0.164,36
0.309,0.065,0.244,66
0.119,0.040,0.079,24
0.459,0.047,0.411,100
0.399,0.060,0.339,79
0.228,0.093,0.135,27
0.241,0.117,0.124,29
0.235,0.120,0.115,27
0.243,0.115,0.128,28
0.521,0.059,0.462,100
0.224,0.051,0.173,48
0.291,0.026,0.264,68
0.165,0.091,0.074,21
0.133,0.042,0.091,32
0.477,0.054,0.423,100
0.139,0.060,0.080,24
0.204,0.061,0.144,44
0.233,0.071,0.162,45
0.200,0.041,0.159,40
0.271,0.145,0.126,28
0.180,0.080,0.101,27
0.241,0.100,0.141,35
0.401,0.061,0.340,99
0.501,0.055,0.446,100
0.172,0.070,0.103,32
0.202,0.114,0.088,19
0.226,0.116,0.109,22
0.160,0.073,0.088,32
0.209,0.094,0.115,32
0.128,0.054,0.074,29
0.224,0.110,0.114,28
0.199,0.101,0.098,29
0.189,0.084,0.104,28
0.192,0.097,0.095,29
0.230,0.112,0.117,37
0.406,0.046,0.360,85
0.230,0.140,0.091,29
0.235,0.120,0.115,28
0.186,0.077,0.110,30
0.190,0.076,0.114,29
0.273,0.114,0.159,38
0.252,0.144,0.108,24
0.160,0.060,0.100,25
0.217,0.110,0.107,37
0.176,0.042,0.134,34
0.292,0.161,0.131,39
0.255,0.139,0.116,25
0.152,0.033,0.119,35
0.179,0.077,0.103,21
0.179,0.099,0.080,25
0.188,0.094,0.095,27
0.274,0.121,0.153,36
0.110,0.036,0.075,31
0.156,0.039,0.117,23
0.265,0.124,0.141,30
0.182,0.102,0.079,23
0.226,0.109,0.117,31
0.198,0.100,0.099,27
0.217,0.076,0.141,33
0.365,0.046,0.319,83
0.464,0.054,0.410,95
0.344,0.084,0.260,66
